frame_number,frame_timestamp,4.0.acc.x,4.0.acc.y,4.0.acc.z,4.0.gyro.x,4.0.gyro.y,4.0.gyro.z,4.0.mag.x,4.0.mag.y,4.0.mag.z,4.0.lin_acc.x,4.0.lin_acc.y,4.0.lin_acc.z,4.0.q6.w,4.0.q6.x,4.0.q6.y,4.0.q6.z,4.0.q9.w,4.0.q9.x,4.0.q9.y,4.0.q9.z,4.0.imu_timestamp,4.0.temp,0.0.acc.x,0.0.acc.y,0.0.acc.z,0.0.gyro.x,0.0.gyro.y,0.0.gyro.z,0.0.mag.x,0.0.mag.y,0.0.mag.z,0.0.lin_acc.x,0.0.lin_acc.y,0.0.lin_acc.z,0.0.q6.w,0.0.q6.x,0.0.q6.y,0.0.q6.z,0.0.q9.w,0.0.q9.x,0.0.q9.y,0.0.q9.z,0.0.imu_timestamp,0.0.temp,0.1.acc.x,0.1.acc.y,0.1.acc.z,0.1.gyro.x,0.1.gyro.y,0.1.gyro.z,0.1.mag.x,0.1.mag.y,0.1.mag.z,0.1.lin_acc.x,0.1.lin_acc.y,0.1.lin_acc.z,0.1.q6.w,0.1.q6.x,0.1.q6.y,0.1.q6.z,0.1.q9.w,0.1.q9.x,0.1.q9.y,0.1.q9.z,0.1.imu_timestamp,0.1.temp,0.2.acc.x,0.2.acc.y,0.2.acc.z,0.2.gyro.x,0.2.gyro.y,0.2.gyro.z,0.2.mag.x,0.2.mag.y,0.2.mag.z,0.2.lin_acc.x,0.2.lin_acc.y,0.2.lin_acc.z,0.2.q6.w,0.2.q6.x,0.2.q6.y,0.2.q6.z,0.2.q9.w,0.2.q9.x,0.2.q9.y,0.2.q9.z,0.2.imu_timestamp,0.2.temp,1.0.acc.x,1.0.acc.y,1.0.acc.z,1.0.gyro.x,1.0.gyro.y,1.0.gyro.z,1.0.mag.x,1.0.mag.y,1.0.mag.z,1.0.lin_acc.x,1.0.lin_acc.y,1.0.lin_acc.z,1.0.q6.w,1.0.q6.x,1.0.q6.y,1.0.q6.z,1.0.q9.w,1.0.q9.x,1.0.q9.y,1.0.q9.z,1.0.imu_timestamp,1.0.temp,1.1.acc.x,1.1.acc.y,1.1.acc.z,1.1.gyro.x,1.1.gyro.y,1.1.gyro.z,1.1.mag.x,1.1.mag.y,1.1.mag.z,1.1.lin_acc.x,1.1.lin_acc.y,1.1.lin_acc.z,1.1.q6.w,1.1.q6.x,1.1.q6.y,1.1.q6.z,1.1.q9.w,1.1.q9.x,1.1.q9.y,1.1.q9.z,1.1.imu_timestamp,1.1.temp,1.2.acc.x,1.2.acc.y,1.2.acc.z,1.2.gyro.x,1.2.gyro.y,1.2.gyro.z,1.2.mag.x,1.2.mag.y,1.2.mag.z,1.2.lin_acc.x,1.2.lin_acc.y,1.2.lin_acc.z,1.2.q6.w,1.2.q6.x,1.2.q6.y,1.2.q6.z,1.2.q9.w,1.2.q9.x,1.2.q9.y,1.2.q9.z,1.2.imu_timestamp,1.2.temp
0,0,-0.608127,9.509769,-1.230620,0.000000,0.000000,0.000000,-9.000000,-25.000000,-3.000000,-0.608127,9.507375,-1.230620,0.659280,0.750989,0.036011,-0.008310,0.570637,0.675371,-0.332410,-0.328255,4351139,32.000000,4.362236,8.422802,0.565032,0.000000,0.000000,0.000000,-15.000000,-41.000000,-20.000000,4.359841,8.422802,0.562637,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352199,31.000000,-6.962338,6.540959,2.384625,0.000000,0.000000,0.000000,46.000000,-29.000000,37.000000,-6.959944,6.538565,2.382231,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352202,26.000000,-4.841076,8.379706,0.445322,0.000000,0.000000,0.000000,-14.000000,-12.000000,9.000000,-4.841076,8.377312,0.442927,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352204,25.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
1,9,-0.464475,9.562442,-1.240196,0.000000,0.000000,0.000000,-8.000000,-26.000000,-4.000000,-0.464475,9.560047,-1.240196,0.659280,0.750989,0.036011,-0.008310,0.570637,0.676051,-0.331025,-0.328255,4351155,32.000000,4.367024,8.571242,0.622492,0.000000,0.000000,0.000000,-14.000000,-41.000000,-21.000000,4.364630,8.571242,0.620098,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352207,32.000000,-6.986280,6.397307,2.398990,0.000000,0.000000,0.000000,46.000000,-29.000000,37.000000,-6.983886,6.394913,2.396596,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352211,26.000000,-4.951209,8.346188,0.373495,0.000000,0.000000,0.000000,-13.000000,-11.000000,9.000000,-4.948815,8.343793,0.371101,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352214,25.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
2,18,-0.521936,9.528923,-1.187524,0.000000,0.000000,0.000000,-8.000000,-26.000000,-3.000000,-0.521936,9.526528,-1.187524,0.659280,0.750989,0.036011,-0.008310,0.570637,0.675371,-0.332410,-0.328255,4351165,32.000000,4.261679,8.499416,0.565032,0.000000,0.000000,0.000000,-14.000000,-41.000000,-21.000000,4.259285,8.499416,0.562637,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352216,32.000000,-6.871359,6.469133,2.427721,0.000000,0.000000,0.000000,47.000000,-30.000000,36.000000,-6.868965,6.466739,2.425326,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352221,26.000000,-4.807557,8.374918,0.502782,0.000000,0.000000,0.000000,-13.000000,-11.000000,9.000000,-4.807557,8.372523,0.500388,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352223,25.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
3,26,-0.517148,9.586384,-1.240196,0.000000,0.000000,0.000000,-8.000000,-26.000000,-3.000000,-0.517148,9.583989,-1.240196,0.659280,0.750989,0.036011,-0.008310,0.570637,0.676051,-0.331025,-0.328255,4351172,32.000000,4.333505,8.556877,0.737414,0.000000,0.000000,0.000000,-17.000000,-41.000000,-20.000000,4.331111,8.556877,0.735020,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352225,31.000000,-6.904878,6.502652,2.451663,0.000000,0.000000,0.000000,46.000000,-29.000000,36.000000,-6.902483,6.500257,2.449268,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352229,26.000000,-4.965574,8.307879,0.569820,0.000000,0.000000,0.000000,-14.000000,-12.000000,10.000000,-4.965574,8.305486,0.567426,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352231,24.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
4,40,-0.670376,9.581595,-1.230620,0.000000,0.000000,0.000000,-7.000000,-25.000000,-4.000000,-0.670376,9.579201,-1.230620,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351183,32.000000,4.266468,8.494628,0.569820,0.000000,0.000000,0.000000,-14.000000,-40.000000,-19.000000,4.264073,8.494628,0.567426,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352243,32.000000,-6.880936,6.526594,2.408567,0.000000,0.000000,0.000000,46.000000,-28.000000,37.000000,-6.878541,6.524199,2.406173,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352248,26.000000,-4.855441,8.427590,0.421380,0.000000,0.000000,0.000000,-14.000000,-10.000000,7.000000,-4.855441,8.425196,0.418985,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352250,25.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
5,48,-0.627281,9.639056,-1.235408,0.000000,0.000000,0.000000,-9.000000,-26.000000,-4.000000,-0.627281,9.636662,-1.235408,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351190,32.000000,4.367024,8.437167,0.622492,0.000000,0.000000,0.000000,-15.000000,-40.000000,-21.000000,4.364630,8.437167,0.620098,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352252,32.000000,-6.967127,6.574478,2.485181,0.000000,0.000000,0.000000,46.000000,-29.000000,36.000000,-6.964733,6.572083,2.482787,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352256,26.000000,-4.951209,8.379706,0.402226,0.000000,0.000000,0.000000,-12.000000,-9.000000,8.000000,-4.951209,8.377312,0.399832,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352258,24.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
6,70,-0.526724,9.457097,-1.283292,0.000000,0.000000,0.000000,-9.000000,-26.000000,-4.000000,-0.526724,9.454702,-1.283292,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351199,32.000000,4.367024,8.437167,0.622492,0.000000,0.000000,0.000000,-15.000000,-40.000000,-21.000000,4.364630,8.437167,0.620098,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352252,32.000000,-6.967127,6.574478,2.485181,0.000000,0.000000,0.000000,46.000000,-29.000000,36.000000,-6.964733,6.572083,2.482787,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352256,26.000000,-4.951209,8.379706,0.402226,0.000000,0.000000,0.000000,-12.000000,-9.000000,8.000000,-4.951209,8.377312,0.399832,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352258,24.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
7,71,-0.488417,9.572019,-1.326388,0.000000,0.000000,0.000000,-8.000000,-26.000000,-4.000000,-0.488417,9.569624,-1.326388,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351216,32.000000,4.381389,8.494628,0.521936,0.000000,0.000000,0.000000,-14.000000,-40.000000,-20.000000,4.378995,8.494628,0.519542,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352276,32.000000,-6.823475,6.330269,2.351106,0.000000,0.000000,0.000000,46.000000,-29.000000,37.000000,-6.821081,6.327875,2.348712,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352273,26.000000,-4.865018,8.355764,0.383072,0.000000,0.000000,0.000000,-12.000000,-9.000000,8.000000,-4.865018,8.353370,0.380678,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352278,24.000000,-2.992752,9.059659,2.274492,0.000000,0.000000,0.000000,5.000000,-96.000000,43.000000,-3.033453,9.014170,2.267309,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355015,30.000000,5.066131,8.245630,-0.632069,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.228937,8.140285,-0.689530,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355022,25.000000,3.620033,8.724471,-2.470816,0.000000,0.000000,0.000000,0.000000,-27.000000,-2.000000,3.620033,8.724471,-2.470816,0.613573,0.735021,-0.288089,0.016620,0.486150,0.764581,0.198061,0.373961,4355020,25.000000
8,77,-0.574608,9.528923,-1.268927,0.000000,0.000000,0.000000,-8.000000,-26.000000,-4.000000,-0.574608,9.526528,-1.268927,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351225,32.000000,4.386178,8.446744,0.670376,0.000000,0.000000,0.000000,-14.000000,-41.000000,-19.000000,4.383783,8.446744,0.667982,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352287,32.000000,-6.900089,6.526594,2.398990,0.000000,0.000000,0.000000,46.000000,-29.000000,36.000000,-6.897695,6.524199,2.396596,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352283,26.000000,-4.845864,8.303091,0.632069,0.000000,0.000000,0.000000,-13.000000,-13.000000,10.000000,-4.845864,8.300697,0.629675,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352285,24.000000,-3.035848,9.083601,2.260126,0.000000,0.000000,0.000000,6.000000,-98.000000,42.000000,-3.033453,9.081207,2.257732,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355092,30.000000,5.123591,8.173804,-0.770933,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.063736,8.101978,-0.579397,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355104,25.000000,3.653552,8.681376,-2.346318,0.000000,0.000000,0.000000,0.000000,-26.000000,-2.000000,3.653552,8.681376,-2.346318,0.613573,0.735021,-0.288089,0.016620,0.486150,0.763902,0.198061,0.375346,4355119,25.000000
9,85,-0.565032,9.552865,-1.273715,0.000000,0.000000,0.000000,-8.000000,-25.000000,-2.000000,-0.565032,9.550470,-1.273715,0.659280,0.750989,0.036011,-0.008310,0.572022,0.674879,-0.331025,-0.328255,4351235,32.000000,4.247314,8.451532,0.665588,0.000000,0.000000,0.000000,-14.000000,-41.000000,-19.000000,4.244920,8.451532,0.663194,0.730340,0.601108,-0.324100,-0.015235,0.678670,0.681775,-0.067867,0.264543,4352294,32.000000,-6.928820,6.454768,2.365471,0.000000,0.000000,0.000000,46.000000,-29.000000,36.000000,-6.926425,6.452374,2.363077,0.790015,0.409972,0.455679,0.012465,0.386427,-0.185596,0.584487,0.688914,4352291,27.000000,-4.888960,8.269572,0.507571,0.000000,0.000000,0.000000,-14.000000,-12.000000,8.000000,-4.888960,8.267179,0.505177,0.725787,0.592798,0.349030,0.001385,-0.206371,-0.502770,0.469529,0.695827,4352296,25.000000,-3.035848,9.083601,2.260126,0.000000,0.000000,0.000000,6.000000,-98.000000,42.000000,-3.033453,9.081207,2.257732,0.784448,0.588643,0.195291,0.001385,0.784448,0.588643,0.195291,0.001385,4355092,30.000000,5.123591,8.173804,-0.770933,0.000000,0.000000,0.000000,52.000000,-27.000000,-25.000000,5.063736,8.101978,-0.579397,0.684243,0.614958,-0.391967,0.000000,0.437673,0.698064,0.220222,0.522161,4355104,25.000000,3.653552,8.681376,-2.346318,0.000000,0.000000,0.000000,0.000000,-26.000000,-2.000000,3.653552,8.681376,-2.346318,0.613573,0.735021,-0.288089,0.016620,0.486150,0.763902,0.198061,0.375346,4355119,25.000000
