frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,82366,240483,147022,99231
1,5,2,2,82355,240480,147007,99248
2,10,2,2,82361,240460,147006,99238
3,15,2,2,82345,240470,147010,99241
4,20,2,2,82351,240469,147001,99230
5,25,2,2,82357,240481,146996,99230
6,30,2,2,82357,240486,146996,99232
7,35,2,2,82360,240497,147006,99245
8,40,2,2,82352,240484,147011,99239
9,45,2,2,82352,240469,147011,99243
10,50,2,2,82355,240475,147039,99247
11,55,2,2,82364,240493,147026,99238
12,60,2,2,82357,240496,147021,99237
13,65,2,2,82356,240486,147017,99241
14,70,2,2,82356,240514,147032,99244
15,75,2,2,82365,240494,147019,99241
16,80,2,2,82367,240512,147046,99245
17,85,2,2,82372,240491,147042,99259
18,90,2,2,82362,240500,147025,99240
19,95,2,2,82358,240496,147028,99244
20,100,2,2,82365,240499,147028,99242
21,105,2,2,82363,240498,147036,99250
22,110,2,2,82353,240511,147042,99252
23,115,2,2,82381,240501,147034,99252
24,120,2,2,82356,240504,147045,99262
25,125,2,2,82369,240511,147038,99241
26,130,2,2,82362,240507,147046,99245
27,135,2,2,82375,240519,147044,99250
28,140,2,2,82371,240529,147059,99268
29,145,2,2,82372,240534,147054,99251
30,150,2,2,82368,240510,147054,99253
31,155,2,2,82361,240503,147052,99256
32,161,2,2,82369,240527,147065,99254
33,166,2,2,82374,240490,147060,99252
34,171,2,2,82373,240529,147052,99262
35,176,2,2,82378,240511,147064,99264
36,181,2,2,82367,240504,147053,99254
37,186,2,2,82372,240534,147072,99256
38,191,2,2,82369,240534,147075,99272
39,196,2,2,82372,240531,147069,99266
40,201,2,2,82376,240534,147062,99262
41,206,2,2,82374,240551,147076,99268
42,211,2,2,82372,240559,147063,99266
43,216,2,2,82373,240533,147055,99261
44,221,2,2,82349,240500,147063,99252
45,226,2,2,82375,240547,147049,99274
46,231,2,2,82371,240519,147059,99255
47,236,2,2,82376,240533,147062,99257
48,241,2,2,82374,240512,147055,99250
49,246,2,2,82365,240513,147051,99258
50,251,2,2,82353,240489,147043,99254
51,256,2,2,82363,240487,147042,99260
52,261,2,2,82354,240460,147050,99256
53,266,2,2,82351,240444,147046,99261
54,271,2,2,82338,240445,147048,99259
55,276,2,2,82341,240391,147047,99258
56,281,2,2,82329,240387,147044,99257
57,286,2,2,82336,240366,147039,99260
58,291,2,2,82334,240363,147043,99255
59,296,2,2,82330,240399,147046,99260
60,301,2,2,82326,240397,147041,99254
61,306,2,2,82336,240368,147043,99264
62,311,2,2,82323,240378,147050,99262
63,316,2,2,82328,240369,147052,99269
64,320,2,2,82329,240372,147059,99280
65,325,2,2,82326,240403,147053,99262
66,330,2,2,82337,240411,147067,99264
67,335,2,2,82341,240423,147056,99263
68,340,2,2,82344,240429,147062,99262
69,345,2,2,82349,240437,147053,99261
70,350,2,2,82339,240440,147067,99263
71,355,2,2,82362,240478,147063,99271
72,360,2,2,82347,240473,147087,99270
73,365,2,2,82356,240475,147062,99272
74,370,2,2,82359,240481,147077,99266
75,375,2,2,82356,240495,147065,99270
76,380,2,2,82366,240485,147066,99277
77,385,2,2,82367,240503,147078,99276
78,390,2,2,82372,240532,147082,99274
79,395,2,2,82378,240507,147084,99277
80,400,2,2,82366,240510,147071,99275
81,405,2,2,82370,240514,147068,99276
