frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
0,0,0,0,99,0
1,635,0,0,94,0
2,1207,0,0,104,0
3,1728,1,0,112,0
4,2383,0,0,91,0
5,3009,0,0,95,0
6,3721,0,0,84,0
7,4022,1,0,72,0
8,4777,0,0,79,0
9,5501,0,0,82,0
10,6326,1,0,114,0
11,6877,0,0,108,0
12,7397,0,0,115,0
13,7940,0,0,110,0
14,8333,1,0,105,0
15,8884,0,0,108,0
16,9475,0,0,101,0
17,10011,0,0,111,0
18,10578,1,0,121,0
19,11151,0,0,104,0
20,11694,0,0,110,0
21,12255,0,0,106,0
22,12760,0,0,118,0
23,13242,0,0,124,0
24,13739,0,0,120,0
25,14237,0,0,120,0
26,14735,1,0,129,0
27,15231,0,0,120,0
28,15699,0,0,128,0
29,16150,0,0,133,0
30,16421,1,0,112,0
31,17009,1,0,102,0
32,17713,0,0,85,0
33,18393,0,0,88,0
34,19094,0,0,85,0
35,19190,1,0,84,0
36,19957,0,0,78,0
37,20803,0,0,70,0
38,21517,1,0,86,0
39,22264,0,0,80,0
40,22931,0,0,89,0
41,23621,1,0,116,0
42,24088,0,0,128,0
43,24541,0,0,132,0
44,25026,0,0,123,0
45,25536,1,0,123,0
46,26087,1,0,108,0
47,26571,1,0,123,0
48,27103,1,0,112,0
49,27645,1,0,110,0
50,28156,1,0,117,0
51,28653,1,0,120,0
52,29152,1,0,120,0
53,29645,1,0,121,0
54,30191,1,0,109,0
55,30686,1,0,121,0
56,31226,1,0,111,0
57,31755,1,0,113,0
58,32263,1,0,118,0
59,32809,0,0,109,0
60,33300,0,0,122,0
61,33804,1,0,122,0
62,34328,1,0,114,0
63,34801,0,0,126,0
64,35286,0,0,123,0
65,35809,1,0,132,0
