frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,787.641052,109.071564,141.170166,139.367706,99.822380,137.153046,0.477113
1,763,790.923096,106.246826,121.414009,120.126320,85.852669,137.446121,0.697605
2,1545,783.333313,95.197670,121.480583,120.130272,85.899742,120.149117,0.450367
3,2314,782.974976,93.996574,119.916382,118.636948,84.793686,118.641174,0.439204
4,3109,776.349976,82.621338,111.990654,110.582100,79.189346,102.552887,0.472742
5,5770,787.487183,88.696075,114.614906,113.154083,81.044975,111.578865,0.624489
6,7616,789.974365,105.616608,147.179260,145.402893,104.071449,129.978088,0.599027
7,8504,792.871765,106.739021,155.717850,153.710602,110.109146,129.322952,0.603435
8,17840,821.921082,101.725487,124.484550,122.959663,88.023872,129.699829,0.660352
9,18517,820.552612,103.346100,131.252884,129.550034,92.809807,130.590973,0.660243
10,21178,827.605286,102.686752,134.775925,133.094437,95.300972,128.639023,0.567498
11,21714,823.578918,110.936455,146.050705,144.239929,103.273445,138.856384,0.779968
12,22365,819.153870,112.901344,145.413055,143.564606,102.822556,142.151993,0.798390
13,24293,810.948730,118.961502,145.745880,143.903641,103.057899,151.635132,1.472238
14,24925,807.128235,122.294548,145.773239,143.941498,103.077248,156.842133,1.487393
15,25517,801.750000,125.417206,144.005814,142.271484,101.827484,162.094208,1.492622
16,26214,799.750000,126.455574,145.043030,143.234680,102.560913,163.470642,1.587461
17,26770,794.099976,132.187851,146.457886,144.678864,103.561363,172.002258,1.657347
18,27322,789.775024,137.240280,146.446381,144.676025,103.553230,179.744690,1.499249
19,29216,784.926819,138.235382,145.804810,144.016266,103.099571,181.392624,1.653590
20,29765,780.439026,142.872314,148.133789,146.379974,104.746407,187.986938,1.423178
21,30437,779.170715,143.614761,149.324478,147.509323,105.588348,188.880783,1.247488
22,32022,776.024414,151.534897,167.033020,165.114151,118.110184,197.359161,0.927492
23,32757,775.195129,151.667267,171.086823,168.994019,120.976654,196.693268,0.857565
24,33392,771.292664,153.195648,170.247025,168.320038,120.382828,199.228012,0.744551
25,35684,754.418579,147.879501,165.779434,163.862396,117.223763,192.005188,0.684379
26,36364,751.860474,148.200409,160.392487,158.763245,113.414612,193.636993,0.745535
27,36846,738.511658,145.987839,143.247742,141.580032,101.291451,193.636047,1.109854
28,37603,738.931824,144.307236,147.578186,145.972916,104.353531,190.274353,1.084812
29,38142,738.795471,144.497467,141.798935,140.407776,100.266991,191.656723,1.123911
30,38768,732.840881,143.601517,142.465881,140.986786,100.738594,190.180603,1.125136
31,39210,726.377808,148.433365,143.298843,142.084167,101.327583,197.310120,1.070070
