frame_number;frame_timestamp;node0.is_heartrate_valid;node0.is_spo2_valid;node0.heartrate;node0.spo2
0;0;0;0;77;0
1;714;0;0;84;0
2;1376;1;0;106;0
3;2057;0;0;88;0
4;2730;0;0;89;0
5;3360;0;0;95;0
6;4051;0;0;86;0
7;4285;1;0;80;0
8;4719;1;0;138;0
9;5543;1;0;72;0
10;6058;1;0;116;0
11;6709;0;0;92;0
12;7378;0;0;89;0
13;8102;0;0;82;0
14;8779;0;0;88;0
15;9179;1;0;70;0
16;10066;0;0;67;0
17;10999;0;0;64;0
18;11853;1;0;78;0
19;12833;1;0;61;0
20;14133;0;0;46;0
21;15113;1;0;56;0
22;15607;1;0;121;0
23;16122;1;0;116;0
24;16982;1;0;69;0
25;18192;0;0;49;0
26;19052;1;0;147;0
27;19725;1;0;89;0
28;20270;1;0;110;0
29;21207;1;0;64;0
30;21635;1;0;140;0
31;22142;1;0;118;0
32;22938;1;0;75;0
33;23410;1;0;127;0
34;24096;0;0;87;0
35;24777;0;0;88;0
36;25534;0;0;79;0
37;25968;1;0;60;0
