frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,134036,268919,259794,171069
1,5,2,2,134025,268929,259805,171075
2,10,2,2,134039,268939,259820,171091
3,15,2,2,134032,268938,259835,171079
4,20,2,2,134045,268927,259834,171093
5,25,2,2,134041,268941,259835,171092
6,30,2,2,134031,268938,259865,171098
7,35,2,2,134039,268965,259871,171122
8,40,2,2,134061,268967,259887,171128
9,45,2,2,134038,268953,259925,171134
10,50,2,2,134037,268964,259944,171171
11,55,2,2,134052,268986,259941,171153
12,60,2,2,134040,268980,259943,171147
13,65,2,2,134047,268999,259942,171154
14,70,2,2,134045,268975,259959,171163
15,75,2,2,134063,269005,259972,171175
16,80,2,2,134059,268968,259992,171168
17,85,2,2,134058,268997,259994,171190
18,90,2,2,134057,269003,259976,171185
19,95,2,2,134061,269008,260008,171191
20,100,2,2,134062,268985,260004,171194
21,105,2,2,134062,269004,260019,171196
22,110,2,2,134069,269004,260038,171209
23,115,2,2,134070,269018,260040,171210
24,120,2,2,134062,268992,260052,171223
25,125,2,2,134064,268987,260063,171213
26,130,2,2,134062,268967,260081,171219
27,135,2,2,134077,269021,260102,171229
28,140,2,2,134080,269017,260087,171235
29,145,2,2,134087,268990,260099,171247
30,150,2,2,134091,269009,260115,171247
31,155,2,2,134075,269002,260166,171296
32,160,2,2,134087,269012,260139,171260
33,165,2,2,134097,269026,260165,171268
34,170,2,2,134087,269001,260166,171276
35,175,2,2,134087,269025,260177,171294
36,180,2,2,134101,269022,260191,171278
37,185,2,2,134101,269023,260192,171290
38,190,2,2,134104,269024,260245,171316
39,195,2,2,134099,269038,260189,171310
40,200,2,2,134108,269062,260219,171307
41,205,2,2,134112,269024,260246,171320
42,210,2,2,134122,269029,260262,171318
43,215,2,2,134119,269043,260265,171318
44,220,2,2,134114,269042,260281,171339
45,225,2,2,134128,269053,260300,171362
46,230,2,2,134113,269068,260313,171351
47,235,2,2,134124,269046,260314,171353
48,240,2,2,134129,269058,260345,171360
49,245,2,2,134114,269075,260324,171365
50,250,2,2,134118,269082,260351,171381
51,255,2,2,134130,269065,260332,171375
52,260,2,2,134126,269094,260355,171378
53,265,2,2,134117,269074,260367,171371
54,270,2,2,134131,269088,260382,171391
55,275,2,2,134129,269107,260382,171390
56,280,2,2,134144,269091,260381,171399
57,285,2,2,134137,269124,260400,171401
58,290,2,2,134143,269122,260406,171425
59,295,2,2,134145,269114,260390,171414
60,300,2,2,134149,269100,260407,171412
61,305,2,2,134155,269121,260452,171440
62,310,2,2,134150,269110,260429,171421
63,315,2,2,134156,269135,260448,171443
64,319,2,2,134161,269147,260462,171435
65,324,2,2,134152,269138,260478,171477
66,329,2,2,134165,269141,260490,171452
67,334,2,2,134168,269178,260503,171483
68,339,2,2,134160,269168,260523,171461
69,344,2,2,134161,269183,260541,171471
70,349,2,2,134178,269191,260570,171480
71,354,2,2,134162,269180,260588,171488
72,359,2,2,134161,269169,260577,171497
73,364,2,2,134167,269160,260592,171501
74,369,2,2,134167,269178,260587,171513
75,374,2,2,134173,269177,260602,171520
76,379,2,2,134175,269212,260596,171531
77,384,2,2,134169,269206,260650,171528
78,389,2,2,134168,269220,260647,171539
79,394,2,2,134155,269213,260651,171540
80,399,2,2,134171,269207,260665,171550
81,404,2,2,134165,269232,260679,171555
82,409,2,2,134171,269231,260670,171564
83,414,2,2,134183,269235,260698,171559
84,419,2,2,134165,269219,260700,171603
85,424,2,2,134175,269260,260716,171582
86,429,2,2,134173,269247,260725,171582
87,434,2,2,134177,269231,260737,171598
88,439,2,2,134176,269231,260766,171600
89,444,2,2,134180,269257,260762,171600
90,449,2,2,134192,269266,260783,171624
91,454,2,2,134200,269265,260829,171620
92,459,2,2,134188,269269,260817,171618
93,464,2,2,134194,269266,260802,171635
94,469,2,2,134176,269265,260829,171632
95,474,2,2,134188,269255,260841,171650
96,479,2,2,134188,269240,260852,171654
97,484,2,2,134183,269261,260857,171662
98,489,2,2,134204,269263,260873,171680
99,494,2,2,134176,269258,260863,171676
100,499,2,2,134195,269282,260880,171691
101,504,2,2,134192,269288,260902,171689
102,509,2,2,134204,269303,260919,171675
103,514,2,2,134195,269293,260913,171693
104,519,2,2,134193,269302,260927,171689
105,524,2,2,134207,269287,260960,171710
106,529,2,2,134204,269315,260965,171721
107,534,2,2,134205,269292,260980,171712
108,539,2,2,134196,269316,260992,171732
109,544,2,2,134194,269311,260985,171729
110,549,2,2,134197,269312,260984,171748
111,554,2,2,134204,269319,261004,171752
112,559,2,2,134202,269318,261030,171758
113,564,2,2,134210,269309,261023,171760
114,569,2,2,134215,269325,261045,171783
115,574,2,2,134205,269333,261049,171778
116,579,2,2,134180,269290,261063,171773
117,584,2,2,134202,269309,261063,171775
118,589,2,2,134200,269325,261088,171802
119,594,2,2,134199,269308,261094,171794
120,599,2,2,134205,269317,261105,171799
121,604,2,2,134202,269310,261106,171813
122,609,2,2,134211,269335,261106,171807
123,614,2,2,134205,269324,261127,171821
124,619,2,2,134199,269325,261165,171818
125,624,2,2,134203,269285,261176,171850
126,629,2,2,134207,269311,261161,171834
127,634,2,2,134194,269317,261203,171831
128,644,2,2,134209,269323,261182,171843
129,649,2,2,134215,269336,261192,171847
130,654,2,2,134217,269341,261197,171865
131,659,2,2,134206,269339,261194,171870
132,664,2,2,134214,269346,261206,171864
133,669,2,2,134197,269334,261209,171873
134,674,2,2,134216,269360,261189,171866
135,679,2,2,134204,269335,261220,171866
136,684,2,2,134213,269338,261216,171875
137,689,2,2,134188,269338,261224,171888
138,694,2,2,134192,269345,261244,171895
139,699,2,2,134195,269344,261239,171885
140,704,2,2,134204,269352,261235,171897
141,709,2,2,134208,269330,261245,171902
142,714,2,2,134201,269344,261267,171897
143,719,2,2,134204,269336,261265,171901
144,724,2,2,134208,269326,261282,171918
145,729,2,2,134215,269345,261303,171924
146,734,2,2,134199,269354,261304,171935
147,739,2,2,134190,269328,261288,171931
148,744,2,2,134187,269356,261371,171960
149,749,2,2,134196,269343,261308,171948
150,754,2,2,134205,269367,261340,171949
151,759,2,2,134190,269343,261335,171928
152,764,2,2,134192,269356,261351,171954
153,769,2,2,134192,269371,261353,171949
154,774,2,2,134197,269387,261367,171971
155,779,2,2,134200,269389,261368,171946
156,784,2,2,134191,269378,261390,171964
157,789,2,2,134196,269406,261393,171964
158,794,2,2,134199,269384,261398,171976
159,799,2,2,134211,269379,261401,171969
160,804,2,2,134187,269403,261391,171977
161,809,2,2,134193,269399,261404,171981
162,814,2,2,134200,269409,261418,171995
163,819,2,2,134194,269364,261420,171999
164,824,2,2,134198,269373,261434,171999
165,825,2,2,134179,269326,261490,172007
166,830,2,2,134180,269373,261427,172004
167,835,2,2,134188,269369,261445,172006
168,840,2,2,134189,269361,261454,172015
169,845,2,2,134188,269358,261478,172011
170,850,2,2,134180,269369,261475,172027
171,855,2,2,134191,269363,261483,172017
172,860,2,2,134168,269327,261521,172030
173,865,2,2,134196,269393,261486,172039
174,870,2,2,134186,269389,261525,172039
175,875,2,2,134178,269399,261528,172043
176,880,2,2,134189,269367,261505,172035
177,885,2,2,134198,269403,261553,172095
178,890,2,2,134185,269399,261523,172054
179,895,2,2,134179,269365,261527,172046
180,900,2,2,134177,269394,261572,172103
181,905,2,2,134191,269386,261543,172060
182,910,2,2,134178,269380,261547,172059
183,915,2,2,134184,269392,261549,172067
184,920,2,2,134198,269383,261559,172066
185,925,2,2,134187,269373,261577,172082
186,930,2,2,134187,269359,261568,172099
187,935,2,2,134180,269393,261581,172084
188,940,2,2,134191,269349,261596,172094
189,945,2,2,134175,269358,261595,172107
190,950,2,2,134187,269348,261597,172109
191,955,2,2,134179,269385,261616,172115
192,960,2,2,134177,269378,261632,172115
193,965,2,2,134189,269374,261639,172125
194,970,2,2,134194,269380,261642,172112
195,975,2,2,134188,269393,261649,172116
196,980,2,2,134193,269386,261644,172116
197,987,2,2,134187,269388,261644,172119
198,992,2,2,134189,269388,261665,172150
199,997,2,2,134190,269420,261678,172143
