frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,868.594604,215.677795,299.696747,295.754791,211.917603,265.667603,0.533535
1,765,871.305542,213.954575,297.353973,293.195557,210.261002,263.530396,0.488164
2,1477,869.250000,215.149628,297.437927,293.280090,210.320374,265.445648,0.502042
3,2078,862.000000,216.675766,293.832214,289.864685,207.770752,268.909698,0.509192
4,4689,846.973694,208.135269,287.413208,283.692291,203.231827,256.883240,0.405927
5,7315,831.315796,195.717545,277.488373,274.052917,196.213913,239.501068,0.288882
6,11032,825.184204,188.028870,257.279510,254.028854,181.924088,232.726288,0.389383
7,12116,832.702698,195.147797,277.113220,273.393921,195.948639,238.678436,0.316785
8,12780,828.263184,194.428284,281.911652,278.243408,199.341644,236.085098,0.353833
9,13818,832.729736,199.838074,290.421936,286.471680,205.359314,242.454697,0.342485
10,14465,823.000000,199.881348,285.984253,283.019379,202.221405,243.840851,0.286143
11,15456,827.421082,199.036423,288.309113,284.791473,203.865326,241.765289,0.280858
12,16032,803.578918,170.762299,273.205353,269.641998,193.185364,199.146255,0.324263
13,16521,795.512817,175.868820,269.901733,266.526947,190.849350,208.920914,0.346416
