frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,213483,373501,371904,312569
1,5,2,2,213395,373409,371880,312515
2,10,2,2,213151,373142,371842,312472
3,15,2,2,212761,372712,371768,312417
4,20,2,2,212238,372137,371748,312328
5,25,2,2,211603,371397,371651,312263
6,30,2,2,211006,370799,371577,312174
7,35,2,2,210392,370130,371517,312080
8,40,2,2,209778,369464,371453,312045
9,45,2,2,209419,369038,371496,312040
10,50,2,2,209309,368907,371461,312054
11,55,2,2,209287,368940,371499,312094
12,60,2,2,209320,369005,371556,312132
13,65,2,2,209384,369078,371637,312217
14,70,2,2,209737,369402,371670,312325
15,75,2,2,210132,369816,371758,312372
16,80,2,2,210457,370184,371822,312430
17,85,2,2,210855,370653,371848,312492
18,90,2,2,211234,371052,371899,312531
19,95,2,2,211439,371275,371923,312585
20,100,2,2,211553,371386,371930,312594
21,105,2,2,211522,371403,371964,312556
22,110,2,2,211441,371292,371916,312524
23,115,2,2,211323,371124,371887,312541
24,120,2,2,211174,371009,371871,312505
25,125,2,2,211037,370852,371874,312482
26,130,2,2,210811,370654,371887,312464
27,135,2,2,210530,370339,371891,312442
28,140,2,2,210310,370135,371846,312427
29,145,2,2,210265,370068,371889,312415
30,150,2,2,210297,370058,371902,312437
31,155,2,2,210209,370056,371891,312470
32,159,2,2,210044,369859,371902,312451
33,164,2,2,209930,369717,371900,312420
34,169,2,2,209831,369550,371875,312398
35,174,2,2,210083,369805,371901,312462
36,179,2,2,210460,370210,371943,312554
37,184,2,2,210776,370612,372003,312559
38,189,2,2,210980,370837,372055,312594
39,194,2,2,211021,370862,372043,312594
40,199,2,2,211018,370853,372059,312601
41,204,2,2,211211,371087,372110,312653
42,209,2,2,211491,371428,372196,312705
43,214,2,2,211725,371703,372285,312707
44,219,2,2,211901,371914,372276,312747
45,224,2,2,211889,371927,372328,312753
46,229,2,2,211669,371661,372290,312735
47,234,2,2,211298,371283,372242,312661
48,239,2,2,211035,370995,372194,312607
49,244,2,2,210920,370863,372167,312570
50,249,2,2,210874,370778,372133,312557
51,254,2,2,210754,370639,372098,312566
52,259,2,2,210660,370513,372105,312566
53,264,2,2,210587,370460,372093,312531
54,269,2,2,210625,370491,372114,312520
55,274,2,2,210644,370520,372133,312501
56,279,2,2,210729,370614,372151,312512
57,284,2,2,210817,370712,372195,312545
58,289,2,2,210943,370874,372227,312602
59,294,2,2,211131,371095,372321,312618
60,299,2,2,211351,371392,372327,312696
61,304,2,2,211633,371666,372357,312723
62,309,2,2,211896,372053,372449,312780
63,314,2,2,212252,372412,372517,312825
64,318,2,2,212541,372722,372538,312840
65,323,2,2,212734,372929,372597,312871
66,328,2,2,212729,372913,372565,312858
67,333,2,2,212500,372656,372536,312824
68,338,2,2,212061,372199,372450,312720
69,343,2,2,211546,371657,372387,312663
70,348,2,2,211175,371260,372391,312618
71,353,2,2,211122,371190,372374,312607
72,358,2,2,211262,371335,372417,312636
73,363,2,2,211488,371534,372433,312664
74,368,2,2,211554,371666,372450,312657
75,373,2,2,211634,371787,372468,312630
76,378,2,2,211842,372062,372483,312675
77,383,2,2,212214,372473,372494,312671
78,388,2,2,212612,372940,372550,312721
79,393,2,2,212868,373251,372618,312719
80,398,2,2,212979,373353,372579,312719
81,403,2,2,213043,373409,372551,312701
82,408,2,2,213226,373545,372533,312739
83,413,2,2,213442,373786,372600,312784
84,418,2,2,213568,373969,372661,312789
85,423,2,2,213556,374010,372704,312817
86,428,2,2,213459,373925,372703,312842
87,433,2,2,213352,373752,372712,312832
88,438,2,2,213221,373564,372678,312849
89,443,2,2,213010,373331,372656,312782
90,448,2,2,212605,372897,372635,312746
91,453,2,2,212094,372382,372579,312779
92,458,2,2,211751,371968,372530,312656
93,463,2,2,211449,371601,372448,312619
94,468,2,2,211222,371361,372423,312599
95,473,2,2,211011,371108,372366,312570
96,480,2,2,210905,370996,372324,312549
97,485,2,2,211034,371110,372292,312587
98,490,2,2,211305,371381,372326,312607
99,495,2,2,211725,371829,372378,312669
100,500,2,2,212188,372348,372508,312759
101,505,2,2,212550,372754,372520,312780
102,510,2,2,212725,372940,372556,312815
103,515,2,2,212909,373188,372558,312845
