frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,92784,256916,124917,84808
1,5,2,2,92781,256889,124915,84807
2,10,2,2,92772,256873,124920,84802
3,15,2,2,92766,256888,124917,84798
4,20,2,2,92756,256836,124902,84804
5,25,2,2,92752,256834,124911,84804
6,30,2,2,92759,256807,124902,84802
7,35,2,2,92752,256850,124908,84791
8,40,2,2,92745,256784,124925,84804
9,45,2,2,92736,256785,124905,84792
10,50,2,2,92725,256806,124909,84796
11,55,2,2,92723,256784,124919,84795
12,60,2,2,92715,256759,124902,84796
13,65,2,2,92717,256776,124910,84789
14,70,2,2,92705,256722,124905,84792
15,75,2,2,92678,256651,124912,84786
16,80,2,2,92660,256624,124904,84789
17,85,2,2,92642,256585,124913,84794
18,90,2,2,92622,256490,124924,84789
19,95,2,2,92563,256368,124922,84788
20,100,2,2,92492,256170,124922,84789
21,105,2,2,92403,255927,124932,84777
22,110,2,2,92335,255784,124912,84769
23,115,2,2,92275,255627,124912,84769
24,120,2,2,92223,255486,124908,84763
25,125,2,2,92197,255399,124902,84763
26,130,2,2,92157,255339,124899,84765
27,135,2,2,92129,255257,124914,84760
28,140,2,2,92098,255198,124919,84768
29,145,2,2,92076,255119,124911,84759
30,150,2,2,92039,255046,124935,84754
31,155,2,2,92005,254964,124919,84749
32,163,2,2,91976,254855,124923,84747
33,168,2,2,91934,254768,124931,84750
34,173,2,2,91902,254662,124922,84745
35,178,2,2,91881,254638,124945,84742
36,183,2,2,91866,254629,124951,84747
37,188,2,2,91850,254598,124956,84746
38,193,2,2,91841,254579,124956,84745
39,198,2,2,91817,254548,124956,84745
40,203,2,2,91829,254553,124967,84743
41,208,2,2,91818,254529,124968,84750
42,213,2,2,91806,254516,124977,84743
43,218,2,2,91795,254475,124986,84742
44,223,2,2,91775,254437,124987,84742
45,228,2,2,91761,254432,124989,84739
46,233,2,2,91754,254410,124996,84739
47,238,2,2,91751,254400,125008,84741
48,243,2,2,91735,254374,125006,84744
49,248,2,2,91731,254354,125014,84760
50,253,2,2,91728,254352,125017,84746
51,258,2,2,91717,254316,125026,84746
52,263,2,2,91707,254303,125030,84752
53,268,2,2,91690,254274,125026,84748
54,273,2,2,91675,254262,125034,84741
55,278,2,2,91656,254252,125032,84757
56,283,2,2,91666,254238,125034,84747
57,288,2,2,91647,254191,125045,84747
58,293,2,2,91639,254210,125046,84748
59,298,2,2,91630,254194,125051,84736
60,303,2,2,91635,254194,125053,84743
61,308,2,2,91638,254181,125061,84751
62,313,2,2,91623,254204,125061,84740
63,318,2,2,91627,254173,125063,84741
64,323,2,2,91636,254199,125059,84738
65,328,2,2,91641,254201,125072,84744
66,333,2,2,91634,254214,125077,84742
67,338,2,2,91639,254261,125079,84742
68,343,2,2,91655,254241,125079,84742
69,348,2,2,91652,254259,125104,84742
70,353,2,2,91653,254289,125085,84745
71,358,2,2,91645,254259,125093,84739
72,363,2,2,91645,254273,125096,84756
73,368,2,2,91649,254275,125107,84752
74,373,2,2,91654,254308,125108,84765
75,378,2,2,91661,254316,125110,84744
76,383,2,2,91669,254294,125129,84749
77,388,2,2,91673,254312,125112,84740
78,393,2,2,91664,254326,125113,84741
79,398,2,2,91668,254341,125130,84745
80,403,2,2,91678,254357,125139,84747
81,408,2,2,91679,254393,125126,84745
82,413,2,2,91685,254418,125131,84744
83,418,2,2,91699,254386,125128,84747
84,423,2,2,91696,254442,125140,84747
85,428,2,2,91715,254484,125141,84750
86,433,2,2,91719,254490,125136,84743
87,438,2,2,91724,254500,125146,84755
88,443,2,2,91747,254554,125141,84748
89,448,2,2,91755,254544,125145,84746
90,453,2,2,91764,254546,125150,84751
91,458,2,2,91764,254631,125140,84745
92,463,2,2,91782,254640,125134,84741
93,468,2,2,91777,254640,125132,84738
94,473,2,2,91791,254699,125126,84748
95,478,2,2,91800,254698,125127,84754
96,490,2,2,91814,254732,125139,84743
97,495,2,2,91819,254742,125152,84741
98,500,2,2,91832,254786,125116,84739
99,505,2,2,91841,254795,125132,84735
100,510,2,2,91857,254814,125132,84736
101,515,2,2,91858,254835,125134,84746
102,520,2,2,91867,254894,125128,84736
103,525,2,2,91882,254895,125120,84734
104,530,2,2,91901,254949,125118,84744
105,535,2,2,91918,254990,125119,84741
106,540,2,2,91936,254998,125121,84734
107,545,2,2,91955,255075,125120,84737
108,550,2,2,91968,255112,125120,84736
109,555,2,2,91995,255178,125120,84736
110,560,2,2,92011,255225,125113,84745
111,565,2,2,92032,255290,125131,84753
112,570,2,2,92060,255333,125113,84732
113,575,2,2,92093,255387,125109,84746
114,580,2,2,92112,255473,125112,84744
115,585,2,2,92122,255497,125115,84738
116,590,2,2,92144,255546,125108,84747
117,595,2,2,92155,255603,125120,84742
118,600,2,2,92164,255625,125108,84731
119,605,2,2,92185,255645,125109,84743
120,610,2,2,92182,255684,125122,84738
121,615,2,2,92186,255704,125111,84743
122,620,2,2,92197,255726,125115,84741
123,625,2,2,92203,255733,125115,84738
124,630,2,2,92210,255753,125111,84732
125,635,2,2,92210,255765,125091,84726
126,640,2,2,92211,255763,125104,84734
127,645,2,2,92207,255747,125105,84731
128,650,2,2,92196,255731,125102,84726
129,655,2,2,92188,255724,125104,84725
130,660,2,2,92186,255690,125099,84725
131,665,2,2,92174,255702,125097,84722
132,668,2,2,92157,255664,125117,84742
133,673,2,2,92146,255606,125139,84732
134,678,2,2,92156,255606,125108,84717
135,683,2,2,92139,255577,125101,84716
136,688,2,2,92116,255557,125099,84723
137,693,2,2,92111,255512,125111,84716
138,698,2,2,92093,255457,125124,84735
139,703,2,2,92070,255447,125100,84717
140,708,2,2,92061,255391,125119,84718
141,713,2,2,92054,255351,125104,84710
142,718,2,2,92023,255316,125114,84710
143,723,2,2,92013,255287,125118,84717
144,728,2,2,92007,255230,125118,84713
145,733,2,2,91985,255222,125122,84726
146,738,2,2,91973,255150,125129,84702
147,743,2,2,91950,255148,125131,84711
148,748,2,2,91932,255087,125134,84709
149,753,2,2,91919,255072,125139,84717
150,758,2,2,91907,255028,125155,84702
151,763,2,2,91886,254997,125155,84728
152,768,2,2,91878,254968,125175,84731
153,773,2,2,91870,254931,125170,84717
154,778,2,2,91855,254920,125188,84717
155,783,2,2,91849,254934,125190,84720
156,788,2,2,91849,254901,125212,84723
157,793,2,2,91855,254895,125217,84724
158,798,2,2,91837,254872,125228,84725
159,803,2,2,91826,254867,125247,84729
160,808,2,2,91823,254865,125254,84730
161,813,2,2,91828,254871,125268,84738
162,818,2,2,91819,254836,125281,84746
163,823,2,2,91800,254807,125300,84746
164,828,2,2,91800,254775,125309,84754
165,833,2,2,91790,254789,125325,84756
166,838,2,2,91780,254774,125339,84761
167,843,2,2,91790,254781,125350,84770
168,848,2,2,91784,254783,125369,84760
169,853,2,2,91791,254781,125377,84765
170,858,2,2,91792,254778,125386,84765
171,859,2,2,91784,254808,125405,84789
172,864,2,2,91795,254816,125419,84783
173,869,2,2,91802,254857,125417,84786
174,874,2,2,91827,254854,125436,84788
175,879,2,2,91825,254894,125445,84786
176,884,2,2,91847,254929,125467,84795
177,889,2,2,91851,254966,125472,84799
178,894,2,2,91854,255001,125506,84808
179,899,2,2,91884,255039,125499,84805
180,904,2,2,91892,255042,125518,84809
181,909,2,2,91900,255076,125533,84811
182,914,2,2,91890,255047,125528,84805
183,919,2,2,91890,255040,125529,84804
184,924,2,2,91867,254979,125531,84806
185,929,2,2,91820,254896,125558,84809
186,934,2,2,91762,254763,125537,84807
187,939,2,2,91692,254591,125536,84797
188,944,2,2,91601,254394,125531,84798
189,949,2,2,91528,254256,125532,84790
190,954,2,2,91459,254123,125524,84784
191,959,2,2,91422,254002,125526,84776
192,964,2,2,91364,253889,125533,84789
193,969,2,2,91335,253827,125532,84774
194,974,2,2,91300,253781,125535,84773
195,979,2,2,91294,253738,125537,84775
196,984,2,2,91299,253733,125535,84773
197,989,2,2,91284,253726,125538,84769
198,994,2,2,91282,253665,125550,84770
199,999,2,2,91269,253664,125548,84779
200,1004,2,2,91277,253658,125539,84786
201,1009,2,2,91288,253669,125535,84785
202,1014,2,2,91312,253672,125548,84777
203,1025,2,2,91321,253722,125548,84779
204,1030,2,2,91346,253751,125543,84785
205,1035,2,2,91362,253804,125563,84787
206,1040,2,2,91389,253855,125571,84797
207,1045,2,2,91409,253863,125576,84805
208,1050,2,2,91442,253944,125566,84798
209,1055,2,2,91472,254038,125583,84799
210,1060,2,2,91497,254104,125568,84798
211,1065,2,2,91534,254175,125575,84795
212,1070,2,2,91565,254250,125579,84801
213,1075,2,2,91597,254366,125566,84816
214,1080,2,2,91632,254472,125568,84798
215,1085,2,2,91675,254556,125568,84798
216,1090,2,2,91714,254660,125579,84813
217,1095,2,2,91751,254745,125571,84804
218,1100,2,2,91768,254820,125560,84805
219,1105,2,2,91779,254876,125569,84800
220,1110,2,2,91819,254924,125564,84800
221,1115,2,2,91828,254974,125570,84812
222,1120,2,2,91860,255057,125567,84801
223,1125,2,2,91889,255157,125565,84799
224,1130,2,2,91927,255268,125569,84804
225,1135,2,2,91948,255348,125570,84809
226,1140,2,2,91988,255409,125574,84812
227,1145,2,2,91997,255514,125576,84814
228,1150,2,2,92048,255592,125573,84814
229,1155,2,2,92068,255682,125573,84814
230,1160,2,2,92117,255789,125592,84819
231,1165,2,2,92142,255889,125599,84823
232,1170,2,2,92185,256010,125618,84824
233,1175,2,2,92223,256098,125611,84829
234,1180,2,2,92264,256222,125620,84831
235,1185,2,2,92292,256312,125638,84833
236,1190,2,2,92323,256415,125634,84837
237,1195,2,2,92369,256501,125641,84840
238,1195,2,2,92409,256585,125662,84866
239,1200,2,2,92453,256741,125650,84845
240,1205,2,2,92504,256850,125659,84850
241,1210,2,2,92546,256968,125665,84851
242,1215,2,2,92584,257067,125665,84859
243,1220,2,2,92607,257153,125688,84855
244,1225,2,2,92638,257217,125675,84863
245,1230,2,2,92658,257266,125695,84856
246,1235,2,2,92682,257335,125697,84856
247,1240,2,2,92708,257351,125690,84869
248,1245,2,2,92704,257430,125692,84864
