frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,132419,297597,317290,242915
1,5,2,2,132453,297612,317233,242835
2,10,2,2,132430,297633,317269,242847
3,15,2,2,132429,297612,317218,242836
4,20,2,2,132431,297620,317233,242842
5,25,2,2,132439,297633,317239,242824
6,30,2,2,132430,297603,317236,242840
7,35,2,2,132430,297621,317209,242817
8,40,2,2,132421,297597,317279,242854
9,45,2,2,132428,297615,317188,242819
10,50,2,2,132421,297608,317229,242832
11,55,2,2,132415,297591,317185,242819
12,60,2,2,132420,297603,317188,242846
13,65,2,2,132421,297598,317232,242831
14,70,2,2,132421,297588,317227,242874
15,75,2,2,132423,297614,317201,242813
16,80,2,2,132423,297616,317178,242792
17,85,2,2,132423,297604,317167,242811
18,90,2,2,132424,297585,317163,242819
19,95,2,2,132427,297602,317157,242819
20,100,2,2,132416,297630,317146,242815
21,105,2,2,132404,297597,317167,242831
22,110,2,2,132415,297584,317158,242803
23,115,2,2,132409,297571,317145,242795
24,120,2,2,132415,297573,317168,242808
25,125,2,2,132410,297586,317136,242805
26,130,2,2,132405,297579,317145,242795
27,135,2,2,132406,297576,317156,242785
28,140,2,2,132378,297565,317129,242791
29,145,2,2,132392,297558,317111,242762
30,150,2,2,132383,297583,317100,242797
31,155,2,2,132397,297558,317136,242793
32,161,2,2,132390,297543,317105,242796
33,166,2,2,132393,297584,317092,242777
34,171,2,2,132383,297550,317115,242807
35,176,2,2,132385,297546,317110,242818
36,181,2,2,132392,297543,317060,242796
37,186,2,2,132399,297509,317070,242772
38,191,2,2,132391,297517,317088,242773
39,196,2,2,132385,297530,317075,242801
40,201,2,2,132377,297527,317060,242776
41,206,2,2,132337,297524,317064,242759
42,211,2,2,132363,297539,317046,242779
43,216,2,2,132364,297539,317049,242760
44,221,2,2,132369,297536,317068,242785
45,226,2,2,132374,297513,317032,242766
46,231,2,2,132350,297499,317095,242783
47,236,2,2,132364,297501,317039,242786
48,241,2,2,132347,297480,317026,242763
49,246,2,2,132354,297473,317018,242785
50,251,2,2,132355,297509,317023,242763
51,256,2,2,132364,297511,317019,242743
52,261,2,2,132347,297489,316995,242746
53,266,2,2,132353,297502,317032,242826
54,271,2,2,132345,297506,317026,242758
55,276,2,2,132342,297480,317003,242758
56,281,2,2,132325,297484,316998,242759
57,286,2,2,132332,297486,316991,242753
58,291,2,2,132325,297453,316968,242746
59,296,2,2,132329,297444,317016,242743
60,301,2,2,132319,297448,316971,242752
61,306,2,2,132325,297437,316974,242738
62,311,2,2,132313,297463,316969,242739
63,316,2,2,132323,297455,316966,242741
64,323,2,2,132302,297448,316958,242722
65,328,2,2,132317,297435,316947,242741
66,333,2,2,132314,297458,316936,242757
67,338,2,2,132311,297443,316958,242772
68,343,2,2,132321,297431,316937,242732
69,348,2,2,132310,297420,316951,242734
70,353,2,2,132310,297402,316948,242754
71,358,2,2,132304,297444,316926,242727
72,363,2,2,132300,297452,316975,242719
73,368,2,2,132292,297447,316929,242730
74,373,2,2,132307,297454,316933,242721
75,378,2,2,132315,297491,316928,242722
76,383,2,2,132321,297463,316907,242730
77,388,2,2,132310,297455,316908,242725
78,393,2,2,132308,297447,316879,242740
79,398,2,2,132309,297473,316894,242727
80,403,2,2,132305,297478,316945,242724
81,408,2,2,132312,297476,316874,242716
82,413,2,2,132311,297468,316894,242727
83,418,2,2,132323,297470,316858,242717
84,423,2,2,132317,297471,316863,242704
85,428,2,2,132332,297485,316858,242709
86,433,2,2,132325,297496,316862,242730
87,438,2,2,132333,297505,316851,242703
88,443,2,2,132328,297510,316843,242686
