frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,121939,277897,304905,239396
1,5,2,2,121923,277846,304894,239371
2,10,2,2,121911,277835,304884,239354
3,15,2,2,121893,277812,304838,239365
4,20,2,2,121869,277768,304821,239334
5,25,2,2,121860,277714,304824,239334
6,30,2,2,121839,277674,304825,239352
7,35,2,2,121825,277685,304792,239328
8,40,2,2,121809,277609,304793,239335
9,45,2,2,121803,277574,304755,239312
10,50,2,2,121788,277581,304760,239307
11,55,2,2,121772,277524,304742,239292
12,60,2,2,121751,277483,304714,239285
13,65,2,2,121747,277476,304711,239301
14,70,2,2,121720,277441,304686,239270
15,75,2,2,121710,277380,304697,239259
16,80,2,2,121699,277380,304667,239303
17,85,2,2,121693,277319,304660,239240
18,90,2,2,121659,277303,304642,239215
19,95,2,2,121654,277280,304615,239208
20,100,2,2,121627,277221,304596,239223
21,105,2,2,121600,277200,304578,239189
22,110,2,2,121593,277165,304550,239248
23,115,2,2,121572,277127,304549,239219
24,120,2,2,121562,277087,304533,239175
25,125,2,2,121549,277041,304496,239168
26,130,2,2,121536,277013,304476,239147
27,135,2,2,121507,276988,304452,239141
28,140,2,2,121491,276945,304456,239157
29,145,2,2,121475,276921,304432,239134
30,150,2,2,121472,276911,304427,239124
31,155,2,2,121453,276852,304403,239122
32,160,2,2,121444,276864,304409,239124
33,165,2,2,121439,276839,304387,239116
34,170,2,2,121425,276807,304395,239108
35,175,2,2,121411,276797,304377,239102
36,180,2,2,121400,276709,304382,239096
37,185,2,2,121381,276722,304348,239097
38,190,2,2,121338,276679,304308,239097
39,195,2,2,121310,276603,304292,239065
40,200,2,2,121307,276579,304279,239065
41,205,2,2,121271,276532,304251,239055
42,210,2,2,121265,276517,304236,239047
43,215,2,2,121248,276450,304224,239026
44,220,2,2,121233,276440,304213,239039
45,225,2,2,121212,276430,304209,239027
46,230,2,2,121220,276443,304181,239021
47,235,2,2,121222,276426,304197,239042
48,240,2,2,121226,276465,304217,239043
49,245,2,2,121235,276457,304199,239041
50,250,2,2,121225,276429,304225,239049
51,255,2,2,121233,276462,304226,239045
52,260,2,2,121222,276486,304206,239026
53,265,2,2,121230,276477,304211,239030
54,270,2,2,121226,276502,304214,239031
55,275,2,2,121227,276486,304224,239027
56,280,2,2,121230,276496,304224,239046
57,285,2,2,121235,276463,304204,239044
58,290,2,2,121222,276507,304204,239033
59,295,2,2,121211,276513,304196,239050
60,300,2,2,121230,276517,304206,239051
61,305,2,2,121211,276523,304228,239066
62,310,2,2,121212,276524,304200,239019
63,315,2,2,121247,276517,304209,239037
64,319,2,2,121245,276549,304198,239028
65,324,2,2,121249,276563,304198,239016
66,329,2,2,121254,276566,304198,239049
67,334,2,2,121270,276587,304213,239033
68,339,2,2,121266,276611,304218,239061
69,344,2,2,121277,276619,304204,239028
70,349,2,2,121278,276631,304205,239024
71,354,2,2,121285,276661,304184,239026
72,359,2,2,121302,276700,304201,239025
73,364,2,2,121310,276707,304224,239029
74,369,2,2,121324,276718,304207,239059
75,374,2,2,121310,276754,304220,239061
76,379,2,2,121309,276738,304220,239039
77,384,2,2,121333,276750,304209,239069
78,389,2,2,121340,276771,304211,239064
79,394,2,2,121353,276801,304223,239075
80,399,2,2,121364,276819,304218,239051
81,404,2,2,121360,276826,304231,239057
82,409,2,2,121361,276861,304228,239064
83,414,2,2,121371,276862,304230,239055
84,419,2,2,121393,276896,304229,239066
85,424,2,2,121381,276898,304216,239062
86,429,2,2,121395,276910,304231,239049
87,434,2,2,121406,276920,304199,239039
88,439,2,2,121410,276937,304208,239060
89,444,2,2,121408,276936,304200,239038
90,449,2,2,121430,276942,304242,239047
91,454,2,2,121414,276949,304208,239072
92,459,2,2,121427,276974,304200,239054
93,464,2,2,121423,276977,304188,239054
94,469,2,2,121437,277020,304192,239053
95,474,2,2,121433,277031,304184,239052
96,480,2,2,121450,277045,304193,239057
97,485,2,2,121463,277043,304191,239052
98,490,2,2,121458,277092,304197,239061
99,495,2,2,121486,277125,304167,239047
100,500,2,2,121482,277139,304180,239053
101,505,2,2,121505,277165,304180,239043
102,510,2,2,121492,277208,304178,239057
103,515,2,2,121501,277207,304171,239039
104,520,2,2,121522,277187,304210,239041
105,525,2,2,121525,277205,304158,239036
106,530,2,2,121523,277206,304142,239057
107,535,2,2,121530,277209,304143,239029
108,540,2,2,121521,277215,304181,239025
109,545,2,2,121514,277216,304130,239057
110,550,2,2,121530,277219,304103,239013
111,555,2,2,121536,277201,304103,239014
112,560,2,2,121531,277191,304093,239019
113,565,2,2,121541,277214,304078,239020
114,570,2,2,121531,277230,304088,238989
115,575,2,2,121531,277203,304065,239010
116,580,2,2,121534,277211,304045,239019
117,585,2,2,121538,277193,304054,238996
118,590,2,2,121532,277209,304043,238979
119,595,2,2,121522,277198,304059,238993
120,600,2,2,121529,277237,304030,238998
121,605,2,2,121523,277215,304024,239002
122,610,2,2,121542,277233,304037,238988
123,615,2,2,121501,277167,304006,238977
124,620,2,2,121519,277188,303991,238975
125,625,2,2,121523,277225,304000,238987
126,630,2,2,121510,277223,303986,238974
127,635,2,2,121500,277179,303974,238981
128,640,2,2,121504,277199,303945,238965
129,645,2,2,121505,277184,303982,238961
130,650,2,2,121504,277168,303973,238973
131,655,2,2,121494,277163,303938,238968
132,660,2,2,121493,277148,303929,238961
133,665,2,2,121502,277159,303899,238944
134,670,2,2,121500,277164,303895,238937
135,675,2,2,121494,277154,303857,238926
136,680,2,2,121484,277159,303858,238932
137,685,2,2,121499,277175,303856,238910
138,690,2,2,121503,277171,303851,238910
139,695,2,2,121479,277153,303827,238917
140,700,2,2,121481,277185,303801,238892
141,705,2,2,121486,277182,303782,238896
142,710,2,2,121482,277149,303800,238882
143,715,2,2,121478,277143,303768,238884
144,720,2,2,121473,277163,303769,238877
145,725,2,2,121474,277142,303803,238895
146,730,2,2,121479,277155,303789,238915
147,735,2,2,121463,277143,303709,238861
148,740,2,2,121481,277157,303738,238866
149,745,2,2,121469,277154,303718,238850
150,750,2,2,121467,277135,303701,238862
151,755,2,2,121467,277140,303680,238832
152,760,2,2,121446,277120,303662,238833
153,765,2,2,121462,277110,303647,238835
154,770,2,2,121440,277130,303649,238832
155,775,2,2,121455,277105,303632,238852
156,780,2,2,121446,277125,303660,238819
157,785,2,2,121425,277098,303614,238809
158,790,2,2,121428,277111,303586,238791
159,795,2,2,121424,277061,303568,238786
160,803,2,2,121423,277096,303567,238783
161,808,2,2,121413,277081,303559,238798
162,813,2,2,121412,277062,303527,238751
163,818,2,2,121406,277047,303497,238775
