frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,149992,271126,221565,147932
1,5,2,2,149994,271119,221544,147916
2,10,2,2,149965,271113,221544,147919
3,15,2,2,149977,271139,221551,147920
4,20,2,2,149984,271150,221532,147915
5,25,2,2,149994,271132,221535,147919
6,30,2,2,149997,271116,221541,147917
7,35,2,2,149996,271156,221560,147939
8,40,2,2,149978,271135,221545,147925
9,45,2,2,149991,271135,221537,147926
10,50,2,2,150001,271132,221526,147921
11,55,2,2,150004,271146,221536,147915
12,60,2,2,149993,271139,221518,147906
13,65,2,2,150003,271156,221539,147936
14,70,2,2,149996,271139,221531,147920
15,75,2,2,149996,271119,221534,147935
16,80,2,2,149999,271138,221514,147915
17,85,2,2,149992,271130,221513,147914
18,90,2,2,150006,271130,221537,147939
19,95,2,2,149989,271128,221501,147918
20,100,2,2,149992,271107,221488,147906
21,105,2,2,149993,271118,221494,147908
22,110,2,2,149998,271118,221507,147904
23,115,2,2,149994,271104,221518,147905
24,120,2,2,149999,271090,221448,147896
25,125,2,2,149976,271105,221489,147901
26,130,2,2,149999,271116,221441,147894
27,135,2,2,149995,271133,221447,147884
28,140,2,2,149988,271113,221442,147883
29,145,2,2,149985,271093,221441,147881
30,150,2,2,149975,271130,221433,147877
31,155,2,2,149995,271129,221418,147892
32,163,2,2,149998,271109,221416,147882
33,168,2,2,149992,271121,221417,147870
34,173,2,2,150006,271104,221462,147883
35,178,2,2,149984,271138,221416,147878
36,183,2,2,149984,271118,221395,147864
37,188,2,2,150000,271149,221395,147864
38,193,2,2,150000,271124,221389,147875
39,198,2,2,149999,271131,221383,147878
40,203,2,2,149983,271123,221378,147853
41,208,2,2,149999,271117,221368,147849
42,213,2,2,150003,271137,221361,147850
43,218,2,2,150006,271122,221380,147860
44,223,2,2,149999,271154,221371,147848
45,228,2,2,150001,271124,221355,147841
46,233,2,2,149987,271151,221389,147843
