Fecha y Hora del Ejercicio,Sujeto,Sesion,Tiempo,Tipo de Captura,Resultado,frame_number,frame_timestamp,node0.is_heartrate_valid,node0.is_spo2_valid,node0.heartrate,node0.spo2
2025-03-19-11-00-00,SUB1,S1,T1,CC,OK,0,0,0,0,76,0
2025-03-19-11-00-00,SUB1,S1,T1,CC,OK,1,777,0,0,77,0
2025-03-19-11-00-00,SUB1,S1,T1,CC,OK,2,1682,1,0,106,0
2025-03-19-11-00-00,SUB1,S1,T1,CC,OK,3,2205,1,0,114,0
2025-03-19-11-00-00,SUB1,S1,T1,CC,OK,4,3017,1,0,73,0
2025-03-19-11-00-00,SUB1,S1,T2,CC,OK,0,0,1,0,87,0
2025-03-19-11-00-00,SUB1,S1,T2,CC,OK,1,973,1,0,61,0
2025-03-19-11-00-00,SUB1,S1,T2,CC,OK,2,1509,1,0,111,0
2025-03-19-11-00-00,SUB1,S10,T1,CC,OK,0,0,1,0,127,0
2025-03-19-11-00-00,SUB1,S10,T1,CC,OK,1,517,1,0,116,0
2025-03-19-11-00-00,SUB1,S10,T1,CC,OK,2,1081,1,0,106,0
2025-03-19-11-00-00,SUB1,S10,T2,CC,OK,0,0,1,0,116,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,0,0,0,0,78,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,1,727,0,0,82,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,2,1431,0,0,85,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,3,2100,0,0,89,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,4,2775,0,0,88,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,5,3453,1,0,132,0
2025-03-19-11-00-00,SUB1,S3,T1,CC,OK,6,3958,1,0,118,0
2025-03-19-11-00-00,SUB1,S3,T2,CC,OK,0,0,0,0,63,0
2025-03-19-11-00-00,SUB1,S3,T2,CC,OK,1,902,0,0,66,0
2025-03-19-11-00-00,SUB1,S3,T2,CC,OK,2,1844,0,0,63,0
2025-03-19-11-00-00,SUB1,S3,T2,CC,OK,3,2782,0,0,63,0
2025-03-19-11-00-00,SUB1,S3,T2,CC,OK,4,3655,1,0,113,0
2025-03-19-11-00-00,SUB1,S4,T1,CC,OK,0,0,1,0,113,0
2025-03-19-11-00-00,SUB1,S4,T1,CC,OK,1,572,1,0,104,0
2025-03-19-11-00-00,SUB1,S4,T1,CC,OK,2,1282,1,0,84,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,0,0,0,0,114,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,1,501,0,0,119,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,2,1009,0,0,118,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,3,1497,0,0,122,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,4,1991,0,0,121,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,5,2561,0,0,105,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,6,3107,0,0,109,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,7,3614,0,0,118,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,8,4091,0,0,125,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,9,4621,0,0,113,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,10,5183,0,0,106,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,11,5677,0,0,121,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,12,6249,0,0,104,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,13,6763,0,0,116,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,14,7320,0,0,107,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,15,7818,0,0,120,0
2025-03-19-11-00-00,SUB1,S4,T2,CC,OK,16,8398,0,0,103,0
