frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,155087,324925,370398,276744
1,5,2,2,155070,324931,370387,276717
2,10,2,2,155061,324910,370387,276680
3,15,2,2,155063,324883,370332,276710
4,20,2,2,155052,324871,370286,276648
5,25,2,2,155042,324852,370266,276624
6,30,2,2,155032,324828,370258,276611
7,35,2,2,155054,324788,370223,276605
8,40,2,2,155068,324722,370186,276592
9,45,2,2,155082,324768,370120,276578
10,50,2,2,155074,324740,370116,276578
11,55,2,2,155115,324730,370082,276577
12,60,2,2,155128,324728,370065,276573
13,65,2,2,155144,324702,370012,276572
14,70,2,2,155161,324721,370039,276592
15,75,2,2,155165,324705,370004,276593
16,80,2,2,155177,324711,369989,276583
17,85,2,2,155179,324696,369954,276598
18,90,2,2,155159,324692,369922,276552
19,95,2,2,155113,324676,369908,276550
20,100,2,2,155105,324684,369878,276510
21,105,2,2,155089,324677,369864,276525
22,110,2,2,155083,324684,369875,276524
23,115,2,2,155061,324712,369865,276467
24,120,2,2,155050,324695,369825,276417
25,125,2,2,155024,324730,369837,276437
26,130,2,2,155004,324736,369813,276378
27,135,2,2,154999,324716,369774,276376
28,140,2,2,154985,324716,369810,276367
29,145,2,2,154969,324690,369786,276365
30,150,2,2,154942,324644,369734,276305
31,155,2,2,154941,324632,369707,276304
32,161,2,2,154955,324583,369683,276306
33,166,2,2,154946,324524,369649,276293
34,171,2,2,154938,324526,369648,276271
35,176,2,2,154942,324534,369617,276274
36,181,2,2,154942,324474,369590,276274
37,186,2,2,154957,324453,369584,276246
38,191,2,2,154957,324400,369557,276253
39,196,2,2,154950,324430,369572,276240
40,201,2,2,154946,324419,369549,276220
41,206,2,2,154933,324460,369528,276218
42,211,2,2,154934,324407,369495,276209
43,216,2,2,154907,324424,369479,276170
44,221,2,2,154909,324426,369492,276162
45,226,2,2,154880,324424,369497,276202
46,231,2,2,154883,324435,369453,276174
47,236,2,2,154902,324466,369454,276161
48,241,2,2,154912,324493,369435,276170
49,246,2,2,154948,324474,369410,276173
50,251,2,2,154950,324434,369371,276172
51,256,2,2,154943,324420,369384,276182
52,261,2,2,154943,324385,369385,276165
53,266,2,2,154942,324347,369343,276136
54,271,2,2,154918,324356,369291,276117
55,276,2,2,154905,324340,369308,276117
56,281,2,2,154890,324319,369241,276085
57,286,2,2,154863,324318,369259,276052
58,291,2,2,154832,324322,369246,276050
59,296,2,2,154813,324287,369222,276031
60,301,2,2,154816,324281,369226,275974
61,306,2,2,154805,324289,369196,275999
62,311,2,2,154792,324301,369213,275985
63,316,2,2,154768,324272,369189,275958
64,321,2,2,154793,324317,369165,275932
65,326,2,2,154775,324245,369131,275933
66,331,2,2,154776,324269,369144,275931
67,336,2,2,154774,324298,369129,275896
68,341,2,2,154759,324281,369093,275894
69,346,2,2,154759,324273,369092,275925
70,351,2,2,154774,324276,369112,275905
71,356,2,2,154792,324255,369062,275885
72,361,2,2,154800,324235,369033,275879
73,366,2,2,154800,324249,369021,275901
74,371,2,2,154825,324251,369021,275900
75,376,2,2,154827,324223,369005,275902
76,381,2,2,154857,324241,368997,275914
77,386,2,2,154864,324239,369013,275967
78,391,2,2,154838,324239,368978,275906
79,396,2,2,154853,324225,368976,275901
80,401,2,2,154825,324219,368963,275865
81,406,2,2,154802,324235,368952,275861
82,411,2,2,154798,324215,368932,275859
83,416,2,2,154788,324228,368971,275870
84,421,2,2,154759,324191,368938,275809
85,426,2,2,154760,324180,368921,275819
86,431,2,2,154725,324177,368880,275773
87,436,2,2,154714,324217,368876,275776
88,441,2,2,154672,324199,368885,275744
89,446,2,2,154675,324212,368869,275740
90,451,2,2,154685,324223,368843,275724
91,456,2,2,154659,324200,368846,275701
92,461,2,2,154661,324184,368827,275688
93,466,2,2,154645,324166,368812,275715
94,471,2,2,154643,324152,368836,275706
95,476,2,2,154650,324139,368808,275676
96,481,2,2,154648,324145,368801,275683
97,486,2,2,154649,324125,368786,275667
98,491,2,2,154680,324118,368784,275678
99,496,2,2,154680,324124,368750,275720
100,501,2,2,154697,324108,368813,275710
101,506,2,2,154716,324101,368744,275696
102,511,2,2,154727,324067,368756,275721
103,516,2,2,154722,324095,368774,275706
104,521,2,2,154728,324106,368728,275722
105,526,2,2,154698,324100,368697,275700
106,531,2,2,154701,324057,368710,275678
107,536,2,2,154659,324094,368680,275644
108,541,2,2,154645,324067,368684,275663
109,546,2,2,154625,324080,368672,275621
110,551,2,2,154630,324055,368678,275613
111,556,2,2,154595,324068,368643,275597
112,561,2,2,154588,324057,368647,275583
113,566,2,2,154556,324068,368673,275571
114,571,2,2,154543,324043,368667,275554
115,576,2,2,154520,324044,368648,275562
116,581,2,2,154495,324053,368652,275532
117,586,2,2,154495,324009,368648,275521
118,591,2,2,154495,324052,368663,275502
119,596,2,2,154469,324015,368634,275478
120,601,2,2,154461,323986,368626,275475
121,606,2,2,154465,324009,368617,275488
122,611,2,2,154463,323985,368609,275476
123,616,2,2,154452,323955,368625,275473
124,621,2,2,154447,323923,368616,275461
125,626,2,2,154438,323931,368613,275505
126,631,2,2,154427,323900,368604,275448
127,636,2,2,154413,323877,368557,275425
128,641,2,2,154389,323847,368579,275437
129,646,2,2,154380,323829,368589,275419
130,651,2,2,154350,323818,368566,275399
131,657,2,2,154323,323762,368545,275371
132,662,2,2,154280,323736,368548,275364
133,667,2,2,154261,323682,368532,275350
134,672,2,2,154215,323638,368505,275313
135,677,2,2,154190,323583,368517,275288
136,682,2,2,154183,323511,368513,275274
137,687,2,2,154162,323443,368485,275270
138,692,2,2,154154,323373,368464,275280
139,697,2,2,154149,323301,368429,275311
140,702,2,2,154145,323244,368451,275359
141,707,2,2,154129,323167,368382,275368
142,712,2,2,154113,323060,368360,275368
143,717,2,2,154085,322999,368326,275368
144,722,2,2,154040,322902,368285,275351
145,727,2,2,153965,322860,368226,275314
146,732,2,2,153909,322755,368204,275278
147,737,2,2,153850,322718,368172,275231
148,742,2,2,153800,322654,368163,275136
149,747,2,2,153790,322640,368108,275115
150,752,2,2,153752,322611,368096,275077
151,757,2,2,153743,322611,368067,275041
152,762,2,2,153761,322584,368094,275039
153,767,2,2,153744,322615,368087,275043
154,772,2,2,153746,322562,368097,275084
155,777,2,2,153746,322543,368073,275045
156,782,2,2,153731,322520,368091,275045
157,787,2,2,153713,322515,368081,275056
158,792,2,2,153711,322455,368024,275025
159,797,2,2,153697,322432,368027,275054
160,802,2,2,153670,322401,368004,275061
161,807,2,2,153637,322323,368023,275053
162,812,2,2,153637,322282,367966,275014
163,817,2,2,153617,322169,367929,275006
164,822,2,2,153595,322181,367912,274975
165,827,2,2,153567,322168,367904,274965
166,832,2,2,153556,322118,367851,274923
167,837,2,2,153546,322052,367829,274967
168,842,2,2,153533,321974,367838,274981
169,847,2,2,153524,321898,367844,275015
170,852,2,2,153541,321842,367859,275056
171,857,2,2,153556,321861,367849,275073
172,862,2,2,153579,321834,367823,275056
173,867,2,2,153556,321787,367796,275045
174,872,2,2,153523,321604,367777,275033
175,877,2,2,153484,321395,367690,275021
176,882,2,2,153433,321084,367665,275092
177,887,2,2,153411,320716,367493,275141
178,892,2,2,153457,320339,367424,275193
179,897,2,2,153352,319910,367349,275223
180,902,2,2,153313,319675,367302,275174
181,907,2,2,153223,319536,367240,275054
182,912,2,2,153133,319531,367215,274883
183,917,2,2,153016,319508,367110,274697
184,922,2,2,152961,319454,367048,274546
185,927,2,2,152935,319427,366974,274441
186,932,2,2,152924,319402,366965,274308
187,937,2,2,152940,319441,366872,274236
188,942,2,2,152943,319472,366851,274182
189,947,2,2,152963,319483,366842,274128
190,952,2,2,152971,319516,366832,274106
191,957,2,2,152991,319525,366836,274066
192,962,2,2,152973,319499,366829,274077
193,967,2,2,152955,319468,366844,274152
194,972,2,2,152941,319457,366860,274085
195,977,2,2,152918,319399,366897,274121
196,982,2,2,152904,319387,366878,274120
197,987,2,2,152870,319395,366900,274118
198,992,2,2,152865,319408,366922,274123
199,997,2,2,152869,319465,366969,274117
200,1002,2,2,152863,319499,366993,274125
201,1007,2,2,152850,319527,366926,274032
202,1012,2,2,152820,319539,366908,274004
203,1017,2,2,152793,319398,366898,273990
204,1022,2,2,152756,319314,366840,273954
205,1027,2,2,152718,319187,366796,273941
206,1032,2,2,152671,319033,366789,273973
207,1037,2,2,152631,318806,366734,274000
208,1042,2,2,152618,318639,366635,273962
209,1047,2,2,152586,318440,366577,273903
210,1052,2,2,152664,318356,366535,273925
211,1057,2,2,152677,318308,366512,273935
212,1062,2,2,152715,318365,366494,273959
213,1067,2,2,152787,318443,366522,273954
214,1072,2,2,152814,318588,366617,273995
215,1077,2,2,152827,318777,366746,274024
216,1082,2,2,152816,318969,366815,274064
217,1087,2,2,152816,319112,366846,274016
218,1092,2,2,152788,319202,366870,274032
219,1097,2,2,152760,319206,366836,273994
220,1102,2,2,152768,319228,366835,273973
221,1107,2,2,152779,319260,366878,273941
222,1112,2,2,152800,319285,366924,273947
223,1117,2,2,152814,319318,366984,273947
224,1122,2,2,152846,319384,366972,273999
225,1127,2,2,152863,319449,367007,273984
226,1132,2,2,152889,319484,367046,274032
227,1138,2,2,152916,319507,367089,274079
228,1143,2,2,152961,319580,367150,274098
229,1148,2,2,152991,319656,367203,274153
230,1153,2,2,153019,319726,367264,274184
231,1158,2,2,153033,319753,367245,274166
232,1163,2,2,153064,319773,367258,274197
233,1168,2,2,153065,319785,367284,274207
234,1173,2,2,153076,319791,367292,274208
235,1178,2,2,153073,319759,367356,274232
236,1183,2,2,153061,319755,367380,274273
237,1188,2,2,153074,319756,367450,274324
238,1193,2,2,153073,319719,367496,274385
239,1198,2,2,153076,319682,367538,274445
240,1203,2,2,153097,319605,367536,274492
241,1208,2,2,153106,319622,367595,274532
242,1213,2,2,153112,319655,367562,274557
243,1218,2,2,153116,319687,367590,274546
244,1223,2,2,153124,319731,367612,274549
245,1228,2,2,153143,319758,367638,274540
246,1233,2,2,153146,319776,367670,274543
247,1238,2,2,153150,319825,367693,274582
248,1243,2,2,153189,319848,367707,274581
249,1248,2,2,153185,319843,367769,274615
250,1253,2,2,153209,319806,367807,274679
251,1258,2,2,153226,319850,367850,274733
252,1263,2,2,153266,319849,367896,274812
253,1268,2,2,153262,319792,367894,274856
254,1273,2,2,153267,319751,367942,274885
255,1278,2,2,153251,319714,367911,274866
256,1283,2,2,153250,319646,367969,274885
257,1288,2,2,153220,319650,367967,274868
258,1293,2,2,153253,319643,367974,274844
259,1297,2,2,153240,319707,368000,274839
260,1302,2,2,153265,319745,368033,274864
261,1307,2,2,153277,319716,368044,274892
262,1312,2,2,153282,319744,368030,274893
263,1317,2,2,153291,319759,368072,274907
264,1322,2,2,153308,319742,368071,274908
265,1327,2,2,153351,319760,368082,274904
266,1332,2,2,153357,319746,368076,274890
267,1337,2,2,153372,319716,368081,274890
268,1342,2,2,153376,319718,368086,274874
269,1347,2,2,153367,319673,368078,274892
270,1352,2,2,153345,319622,368091,274887
271,1357,2,2,153346,319623,368138,274910
272,1362,2,2,153367,319653,368159,274926
273,1367,2,2,153356,319633,368213,274970
274,1372,2,2,153365,319580,368235,274978
275,1377,2,2,153335,319568,368286,274994
276,1382,2,2,153324,319479,368283,275016
277,1387,2,2,153277,319401,368328,275054
278,1392,2,2,153257,319246,368337,275047
279,1397,2,2,153221,319229,368317,275022
280,1402,2,2,153221,319124,368312,275057
281,1407,2,2,153178,319002,368284,275041
282,1412,2,2,153154,318971,368288,275006
283,1417,2,2,153138,318905,368248,275010
284,1422,2,2,153136,318833,368244,275000
285,1427,2,2,153110,318853,368270,274992
286,1432,2,2,153103,318793,368327,275013
287,1437,2,2,153110,318776,368324,275012
288,1442,2,2,153088,318752,368352,275030
289,1447,2,2,153085,318698,368364,275049
290,1452,2,2,153071,318640,368377,275064
291,1459,2,2,153062,318604,368414,275104
292,1464,2,2,153055,318536,368454,275119
293,1469,2,2,153045,318489,368492,275164
294,1474,2,2,153026,318434,368473,275147
295,1479,2,2,153014,318368,368475,275140
296,1484,2,2,153021,318304,368471,275152
297,1489,2,2,152985,318287,368448,275113
298,1494,2,2,152976,318218,368428,275085
299,1499,2,2,152992,318224,368433,275083
300,1504,2,2,153010,318234,368447,275082
301,1509,2,2,153003,318236,368469,275070
302,1514,2,2,153028,318262,368518,275109
303,1519,2,2,153053,318289,368557,275151
304,1524,2,2,153067,318320,368588,275102
305,1529,2,2,153095,318329,368620,275150
306,1534,2,2,153106,318408,368680,275171
307,1539,2,2,153095,318427,368708,275198
308,1544,2,2,153107,318408,368769,275212
309,1549,2,2,153086,318397,368768,275266
310,1554,2,2,153059,318331,368799,275269
311,1559,2,2,153018,318301,368800,275237
312,1564,2,2,152987,318255,368817,275236
313,1569,2,2,152988,318217,368815,275255
314,1574,2,2,152990,318199,368810,275255
315,1579,2,2,152985,318167,368807,275252
316,1584,2,2,152988,318143,368809,275243
317,1589,2,2,152992,318178,368816,275248
318,1594,2,2,152987,318151,368842,275229
319,1599,2,2,152987,318143,368838,275247
320,1604,2,2,153009,318141,368849,275242
321,1609,2,2,153017,318153,368863,275263
322,1614,2,2,153023,318156,368910,275258
323,1618,2,2,153049,318175,368899,275281
324,1623,2,2,153075,318196,368933,275294
325,1628,2,2,153090,318225,368985,275323
326,1633,2,2,153094,318256,368981,275315
327,1638,2,2,153111,318317,368990,275349
328,1643,2,2,153111,318293,369013,275321
329,1648,2,2,153122,318320,369015,275344
330,1653,2,2,153117,318293,369037,275361
331,1658,2,2,153107,318262,369027,275333
332,1663,2,2,153109,318262,369029,275321
333,1668,2,2,153106,318246,369024,275336
334,1673,2,2,153096,318223,369032,275334
335,1678,2,2,153104,318228,369040,275322
336,1683,2,2,153114,318246,369020,275322
337,1688,2,2,153100,318197,369035,275325
338,1693,2,2,153106,318214,369040,275322
339,1698,2,2,153116,318207,369041,275331
340,1703,2,2,153111,318185,369037,275306
341,1708,2,2,153111,318204,369042,275336
342,1713,2,2,153117,318217,369062,275327
343,1718,2,2,153123,318210,369067,275324
344,1723,2,2,153131,318205,369076,275313
345,1728,2,2,153132,318226,369057,275344
346,1733,2,2,153132,318236,369076,275314
347,1738,2,2,153121,318233,369137,275354
348,1743,2,2,153144,318227,369089,275346
349,1748,2,2,153171,318273,369077,275323
350,1753,2,2,153180,318272,369104,275315
351,1758,2,2,153181,318292,369105,275318
352,1763,2,2,153196,318281,369102,275304
353,1768,2,2,153206,318298,369071,275297
354,1773,2,2,153198,318277,369126,275283
355,1778,2,2,153217,318282,369126,275281
356,1782,2,2,153212,318325,369114,275283
357,1787,2,2,153211,318302,369114,275285
358,1792,2,2,153249,318349,369120,275293
359,1797,2,2,153260,318345,369134,275299
360,1802,2,2,153278,318392,369144,275296
361,1807,2,2,153293,318400,369164,275311
362,1812,2,2,153302,318443,369168,275309
363,1817,2,2,153323,318459,369185,275323
364,1822,2,2,153336,318494,369239,275331
365,1827,2,2,153333,318529,369259,275328
366,1832,2,2,153346,318532,369268,275328
367,1837,2,2,153349,318594,369278,275309
368,1842,2,2,153363,318583,369262,275319
369,1847,2,2,153349,318608,369292,275330
370,1852,2,2,153329,318632,369311,275318
371,1857,2,2,153350,318628,369345,275340
372,1862,2,2,153349,318639,369289,275317
373,1867,2,2,153337,318611,369292,275272
374,1872,2,2,153352,318600,369282,275293
375,1877,2,2,153342,318618,369277,275316
376,1882,2,2,153352,318609,369310,275302
377,1887,2,2,153333,318608,369317,275280
378,1892,2,2,153344,318611,369331,275304
379,1897,2,2,153335,318620,369336,275348
380,1902,2,2,153349,318641,369360,275321
381,1907,2,2,153351,318670,369394,275322
382,1912,2,2,153359,318722,369415,275323
383,1917,2,2,153363,318733,369450,275356
384,1922,2,2,153360,318767,369450,275357
385,1927,2,2,153357,318785,369507,275387
386,1932,2,2,153378,318787,369482,275397
387,1937,2,2,153371,318830,369501,275382
388,1944,2,2,153373,318847,369519,275397
389,1949,2,2,153379,318894,369545,275416
390,1954,2,2,153373,318915,369556,275415
391,1959,2,2,153356,318955,369611,275430
392,1964,2,2,153360,318966,369606,275437
393,1969,2,2,153354,318989,369647,275453
394,1974,2,2,153349,319004,369678,275445
395,1979,2,2,153335,319038,369689,275456
396,1984,2,2,153334,319074,369683,275487
397,1989,2,2,153318,319126,369688,275472
398,1994,2,2,153315,319160,369704,275453
399,1999,2,2,153282,319155,369707,275458
400,2004,2,2,153273,319138,369704,275430
401,2009,2,2,153247,319128,369721,275391
402,2014,2,2,153225,319126,369687,275357
403,2019,2,2,153192,319062,369668,275362
404,2024,2,2,153181,319062,369654,275333
405,2029,2,2,153160,319052,369640,275328
406,2034,2,2,153154,319069,369651,275332
407,2039,2,2,153141,319135,369703,275337
408,2044,2,2,153135,319148,369703,275368
409,2049,2,2,153135,319191,369715,275359
410,2054,2,2,153121,319239,369704,275327
411,2059,2,2,153079,319262,369738,275316
