frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,156797,334432,368402,277138
1,5,2,2,156806,334479,368414,277167
2,10,2,2,156872,334498,368401,277299
3,15,2,2,156957,334534,368361,277369
4,20,2,2,157066,334675,368377,277484
5,25,2,2,157201,334772,368380,277616
6,30,2,2,157317,334883,368362,277773
7,35,2,2,157456,335008,368367,277912
8,40,2,2,157581,335115,368374,278091
9,45,2,2,157686,335213,368374,278162
10,50,2,2,157759,335279,368387,278282
11,55,2,2,157814,335344,368356,278301
12,60,2,2,157804,335332,368384,278305
13,65,2,2,157803,335341,368385,278287
14,70,2,2,157773,335327,368347,278258
15,75,2,2,157749,335291,368385,278240
16,80,2,2,157720,335235,368330,278226
17,85,2,2,157720,335251,368340,278223
18,90,2,2,157729,335275,368343,278236
19,95,2,2,157740,335293,368350,278246
20,100,2,2,157778,335305,368373,278271
21,105,2,2,157804,335359,368328,278316
22,110,2,2,157874,335414,368339,278403
23,115,2,2,158012,335525,368361,278520
24,120,2,2,158155,335668,368365,278712
25,125,2,2,158323,335792,368368,278899
26,130,2,2,158492,335985,368319,279056
27,135,2,2,158665,336130,368311,279225
28,140,2,2,158800,336356,368328,279396
29,145,2,2,158922,336451,368354,279538
30,150,2,2,158993,336545,368365,279621
31,155,2,2,159080,336644,368422,279709
32,161,2,2,159132,336732,368436,279783
33,166,2,2,159184,336805,368429,279850
34,171,2,2,159206,336837,368409,279873
35,176,2,2,159210,336859,368457,279882
36,181,2,2,159233,336865,368477,279939
37,186,2,2,159265,336928,368521,280008
38,191,2,2,159317,336992,368488,280027
39,196,2,2,159410,337022,368470,280119
40,201,2,2,159508,337167,368466,280222
41,206,2,2,159620,337246,368464,280358
42,211,2,2,159759,337405,368482,280520
43,216,2,2,159926,337565,368509,280725
44,221,2,2,160098,337772,368559,280975
45,226,2,2,160289,337996,368608,281145
46,231,2,2,160445,338151,368677,281385
47,236,2,2,160627,338349,368860,281647
48,241,2,2,160824,338554,368921,281897
49,246,2,2,160975,338750,369009,282163
50,251,2,2,161148,338927,369126,282404
51,256,2,2,161284,339125,369191,282566
52,261,2,2,161432,339267,369285,282798
53,266,2,2,161564,339447,369383,282980
54,271,2,2,161694,339594,369442,283154
55,276,2,2,161840,339710,369482,283342
56,281,2,2,161970,339859,369592,283514
57,286,2,2,162098,339992,369653,283691
58,291,2,2,162222,340139,369633,283808
59,296,2,2,162304,340230,369695,283902
60,301,2,2,162377,340369,369784,283976
61,306,2,2,162415,340433,369787,284022
62,311,2,2,162421,340406,369841,284039
63,316,2,2,162388,340438,369875,284010
64,318,2,2,162324,340381,369848,283928
65,323,2,2,162237,340359,369836,283818
66,328,2,2,162153,340282,369787,283665
67,333,2,2,162100,340254,369768,283575
68,338,2,2,162046,340207,369752,283524
69,343,2,2,162054,340207,369802,283486
70,348,2,2,162108,340284,369773,283539
71,353,2,2,162192,340364,369767,283666
72,358,2,2,162353,340481,369845,283841
73,363,2,2,162481,340641,369896,284045
74,368,2,2,162642,340769,369925,284167
75,373,2,2,162753,340878,369968,284295
76,378,2,2,162869,340998,370038,284411
77,383,2,2,162940,341112,370038,284515
78,388,2,2,162998,341158,370077,284555
79,393,2,2,163004,341202,370126,284517
80,398,2,2,162952,341218,370132,284480
81,403,2,2,162877,341180,370118,284369
82,408,2,2,162787,341087,370120,284273
83,413,2,2,162701,341022,370106,284165
84,418,2,2,162629,340955,370089,284075
85,423,2,2,162612,340962,370104,284096
86,428,2,2,162647,341007,370282,284377
87,433,2,2,162719,341090,370384,284510
88,438,2,2,162733,341138,370435,284578
89,443,2,2,162730,341105,370445,284549
90,448,2,2,162708,341057,370437,284528
91,453,2,2,162696,341129,370509,284577
92,458,2,2,162733,341170,370523,284624
93,463,2,2,162786,341226,370541,284695
94,468,2,2,162901,341349,370625,284897
95,473,2,2,163067,341522,370684,285144
96,482,2,2,163281,341710,370817,285420
97,487,2,2,163475,341908,370929,285720
98,492,2,2,163737,342111,371069,286071
99,497,2,2,163966,342304,371197,286383
100,502,2,2,164149,342462,371291,286632
101,507,2,2,164280,342578,371396,286835
102,512,2,2,164310,342635,371419,286878
103,517,2,2,164224,342610,371430,286787
104,522,2,2,164042,342499,371399,286578
105,527,2,2,163803,342256,371326,286225
106,532,2,2,163528,342034,371203,285830
107,537,2,2,163183,341764,371031,285376
108,542,2,2,162867,341496,370923,284947
109,547,2,2,162557,341261,370781,284504
110,552,2,2,162250,340948,370635,284097
111,557,2,2,161961,340678,370528,283692
112,562,2,2,161666,340394,370386,283319
113,567,2,2,161472,340194,370282,283047
114,572,2,2,161315,340020,370228,282810
115,577,2,2,161208,339951,370192,282716
116,582,2,2,161107,339858,370171,282571
117,587,2,2,161039,339760,370154,282476
118,592,2,2,161006,339713,370156,282444
119,597,2,2,161035,339699,370220,282480
120,602,2,2,161167,339822,370185,282665
121,607,2,2,161338,339966,370251,282887
122,612,2,2,161549,340181,370327,283149
123,617,2,2,161742,340347,370387,283409
124,622,2,2,161865,340464,370448,283528
125,627,2,2,161874,340505,370476,283534
126,632,2,2,161786,340428,370443,283383
127,637,2,2,161589,340262,370376,283148
128,643,2,2,161373,340071,370314,282834
129,648,2,2,161135,339863,370234,282543
130,653,2,2,160858,339599,370151,282193
131,658,2,2,160587,339358,370061,281831
132,663,2,2,160369,339124,370017,281563
133,668,2,2,160185,338954,369945,281311
134,673,2,2,160043,338804,369898,281182
135,678,2,2,159937,338699,369933,281045
136,683,2,2,159921,338634,369875,281001
137,688,2,2,159910,338654,369871,281064
138,693,2,2,159969,338685,369866,281112
139,698,2,2,160038,338766,369894,281223
140,703,2,2,160122,338814,369898,281296
141,708,2,2,160188,338920,369938,281393
142,713,2,2,160256,338969,369934,281485
143,718,2,2,160314,339034,369952,281553
144,723,2,2,160364,339073,369959,281643
145,728,2,2,160459,339170,369957,281784
146,733,2,2,160579,339262,370013,281922
147,738,2,2,160702,339332,370046,282101
148,743,2,2,160823,339451,370073,282244
149,748,2,2,160936,339597,370088,282371
150,753,2,2,160989,339676,370167,282393
151,758,2,2,160956,339622,370070,282351
152,763,2,2,160880,339579,370058,282237
153,768,2,2,160768,339490,370015,282058
154,773,2,2,160611,339398,369977,281855
155,778,2,2,160436,339217,369921,281646
156,783,2,2,160256,339050,369880,281381
157,788,2,2,160073,338842,369826,281178
158,793,2,2,159954,338716,369772,281056
159,798,2,2,159895,338681,369777,281033
160,802,2,2,159925,338658,369744,281066
161,807,2,2,160001,338736,369793,281179
162,812,2,2,160171,338835,369819,281370
163,817,2,2,160352,339064,369880,281597
164,822,2,2,160521,339214,369913,281817
165,827,2,2,160745,339447,369977,282090
166,832,2,2,160949,339618,370015,282351
167,837,2,2,161159,339805,370089,282655
168,842,2,2,161398,340054,370184,282998
169,847,2,2,161612,340275,370252,283314
170,852,2,2,161819,340434,370318,283566
171,857,2,2,161942,340577,370377,283738
172,862,2,2,162023,340680,370407,283879
173,867,2,2,162079,340737,370446,283940
174,872,2,2,162083,340711,370433,283938
175,877,2,2,162090,340745,370425,283931
176,882,2,2,162023,340775,370427,283849
177,887,2,2,161996,340747,370384,283754
178,892,2,2,161915,340709,370333,283620
179,897,2,2,161832,340677,370316,283487
180,902,2,2,161741,340572,370253,283332
181,907,2,2,161607,340493,370211,283158
182,912,2,2,161445,340345,370155,282922
183,917,2,2,161335,340239,370087,282772
184,922,2,2,161284,340143,370076,282697
185,927,2,2,161266,340120,370041,282677
186,932,2,2,161309,340170,370054,282771
187,937,2,2,161432,340233,370093,282922
188,942,2,2,161568,340378,370155,283159
189,947,2,2,161760,340511,370198,283436
190,952,2,2,161944,340654,370277,283670
191,957,2,2,162107,340805,370337,283926
192,969,2,2,162258,340938,370423,284176
193,974,2,2,162440,341102,370495,284397
194,979,2,2,162591,341226,370571,284610
195,984,2,2,162688,341345,370581,284735
196,989,2,2,162750,341435,370640,284889
197,994,2,2,162794,341547,370654,284907
198,999,2,2,162793,341527,370632,284869
199,1004,2,2,162791,341542,370670,284845
200,1009,2,2,162778,341565,370615,284831
201,1014,2,2,162757,341558,370651,284813
202,1019,2,2,162717,341577,370605,284780
203,1024,2,2,162680,341560,370620,284733
204,1029,2,2,162626,341486,370595,284670
205,1034,2,2,162596,341499,370559,284642
206,1039,2,2,162606,341515,370553,284632
207,1044,2,2,162615,341527,370567,284652
208,1049,2,2,162658,341614,370554,284724
209,1054,2,2,162707,341621,370585,284822
210,1059,2,2,162778,341710,370607,284937
211,1064,2,2,162860,341837,370680,285058
212,1069,2,2,162950,341935,370711,285193
213,1074,2,2,163049,342051,370750,285303
214,1079,2,2,163135,342115,370769,285370
215,1084,2,2,163169,342139,370806,285400
216,1089,2,2,163197,342180,370814,285456
217,1094,2,2,163211,342204,370846,285463
218,1099,2,2,163247,342207,370848,285534
219,1104,2,2,163309,342291,370879,285624
220,1109,2,2,163350,342360,370886,285697
221,1114,2,2,163440,342452,370945,285789
222,1119,2,2,163510,342518,370961,285950
223,1124,2,2,163625,342648,371022,286109
224,1120,2,2,163767,342777,371113,286394
225,1125,2,2,163966,342938,371218,286630
226,1130,2,2,164229,343222,371348,286969
227,1135,2,2,164518,343500,371517,287336
228,1140,2,2,164778,343790,371701,287721
229,1145,2,2,165036,344064,371879,288061
230,1150,2,2,165238,344300,372194,288403
231,1155,2,2,165390,344545,372279,288617
232,1160,2,2,165534,344733,372485,288832
233,1165,2,2,165569,344831,372574,288939
234,1170,2,2,165602,344884,372629,288995
235,1175,2,2,165617,344955,372646,289036
236,1180,2,2,165682,345032,372714,289198
237,1185,2,2,165769,345147,372803,289397
238,1190,2,2,165865,345254,372872,289567
239,1195,2,2,165930,345305,372945,289686
240,1200,2,2,165873,345212,372922,289672
241,1205,2,2,165742,345143,372864,289545
242,1210,2,2,165619,344977,372754,289348
243,1215,2,2,165563,344914,372784,289339
244,1220,2,2,165629,344930,372809,289480
245,1225,2,2,165815,345151,372909,289690
246,1230,2,2,165970,345324,373028,289851
247,1235,2,2,166036,345415,373051,289891
248,1240,2,2,166004,345442,372997,289829
