variable,correlacion,sujetos,descripcion,descripcion_corta
AnkleFlexExtL.angle,0.5711325928959246,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
AnkleFlexExtL.angular_acc,-0.8299303429594495,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
AnkleFlexExtL.angular_v,-0.9110147480620568,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
AnkleFlexExtR.angle,0.668981599138646,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
AnkleFlexExtR.angular_acc,-0.3530773221093522,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
AnkleFlexExtR.angular_v,-0.29971006990754,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
AnkleProSupL.angle,0.9313825871888246,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
AnkleProSupL.angular_acc,-0.45422299575379177,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
AnkleProSupL.angular_v,-0.855023061949894,5,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).,velocidad angular (angular velocity): Velocidad de cambio de ángulo en grados por segundo (°/s).
AnkleProSupR.angle,0.7982941355460602,5,"ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes.","ángulo (angle): Ángulo articular en grados (°), entre segmentos óseos adyacentes."
AnkleProSupR.angular_acc,-0.1770892970903248,5,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo al cuadrado (°/s²).,aceleración angular (angular acceleration): Aceleración del cambio de ángulo en grados por segundo a...
