frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,157553,279209,246627,165190
1,5,2,2,157534,279186,246625,165198
2,10,2,2,157535,279213,246596,165187
3,15,2,2,157539,279181,246571,165164
4,20,2,2,157515,279198,246567,165161
5,25,2,2,157565,279232,246518,165167
6,30,2,2,157542,279195,246538,165145
7,35,2,2,157550,279231,246503,165130
8,40,2,2,157577,279239,246493,165141
9,45,2,2,157585,279237,246468,165117
10,50,2,2,157581,279292,246475,165100
11,55,2,2,157609,279280,246431,165105
12,60,2,2,157629,279319,246443,165097
13,65,2,2,157623,279326,246387,165075
14,70,2,2,157643,279352,246382,165061
15,75,2,2,157662,279367,246374,165063
16,80,2,2,157665,279356,246340,165050
17,85,2,2,157677,279407,246325,165038
18,90,2,2,157680,279419,246337,165033
19,95,2,2,157702,279434,246322,165028
20,100,2,2,157740,279484,246321,165015
21,105,2,2,157756,279489,246268,164998
22,110,2,2,157773,279542,246233,164979
23,115,2,2,157809,279608,246223,164968
24,120,2,2,157835,279630,246197,164967
25,125,2,2,157878,279672,246174,164944
26,130,2,2,157899,279737,246186,164943
27,135,2,2,157917,279758,246169,164940
28,140,2,2,157936,279844,246138,164913
29,145,2,2,157971,279866,246133,164908
30,150,2,2,157992,279894,246121,164894
31,155,2,2,158009,279926,246094,164899
32,161,2,2,158019,279933,246058,164872
33,166,2,2,158041,279987,246045,164871
34,171,2,2,158050,279991,246062,164834
35,176,2,2,158067,280017,246027,164850
36,181,2,2,158077,280043,246011,164832
37,186,2,2,158085,280077,246015,164813
38,191,2,2,158115,280129,245982,164813
39,196,2,2,158102,280146,245973,164791
40,201,2,2,158124,280158,245946,164808
41,206,2,2,158139,280187,245914,164779
42,211,2,2,158158,280158,245920,164767
43,216,2,2,158166,280197,245892,164750
44,221,2,2,158179,280194,245875,164740
45,226,2,2,158163,280222,245861,164722
46,231,2,2,158184,280190,245816,164711
47,236,2,2,158154,280214,245844,164708
48,241,2,2,158157,280201,245799,164704
49,246,2,2,158153,280218,245769,164675
50,251,2,2,158139,280189,245773,164677
51,256,2,2,158147,280177,245766,164660
52,261,2,2,158125,280083,245720,164645
53,266,2,2,158118,280107,245678,164624
54,271,2,2,158104,280125,245683,164614
55,276,2,2,158087,280086,245646,164595
56,281,2,2,158049,280025,245628,164592
57,286,2,2,158072,280042,245602,164585
58,291,2,2,158033,280010,245576,164554
59,296,2,2,158036,279971,245579,164579
60,301,2,2,158008,279892,245551,164535
61,306,2,2,157987,279918,245552,164531
62,311,2,2,157969,279867,245521,164506
63,316,2,2,157945,279851,245496,164506
64,323,2,2,157919,279786,245495,164496
65,328,2,2,157901,279738,245489,164475
66,333,2,2,157868,279725,245450,164465
67,338,2,2,157845,279695,245435,164455
68,343,2,2,157820,279630,245407,164448
69,348,2,2,157780,279584,245420,164431
70,353,2,2,157756,279575,245369,164427
71,358,2,2,157728,279534,245392,164407
72,363,2,2,157704,279501,245360,164423
73,368,2,2,157696,279425,245342,164393
74,373,2,2,157693,279363,245327,164398
75,378,2,2,157650,279379,245319,164365
76,383,2,2,157644,279379,245313,164367
77,388,2,2,157649,279350,245287,164348
78,393,2,2,157614,279333,245323,164334
79,398,2,2,157612,279321,245312,164354
80,403,2,2,157610,279256,245264,164321
81,408,2,2,157609,279261,245287,164340
82,413,2,2,157582,279271,245252,164319
83,418,2,2,157569,279216,245238,164301
84,423,2,2,157562,279216,245219,164292
85,428,2,2,157553,279178,245247,164291
86,433,2,2,157502,279144,245204,164262
87,438,2,2,157510,279108,245181,164266
88,443,2,2,157485,279041,245174,164242
89,448,2,2,157461,279031,245160,164232
90,453,2,2,157446,279030,245146,164222
91,458,2,2,157424,278966,245121,164220
92,463,2,2,157384,278958,245109,164185
93,468,2,2,157380,278950,245079,164186
94,473,2,2,157330,278893,245101,164181
95,478,2,2,157352,278848,245084,164200
96,482,2,2,157340,278847,245033,164163
97,487,2,2,157339,278805,245033,164151
98,492,2,2,157309,278816,245041,164137
99,497,2,2,157316,278802,245019,164142
100,502,2,2,157300,278793,245012,164149
101,507,2,2,157294,278795,244994,164115
102,512,2,2,157272,278760,244995,164148
103,517,2,2,157283,278747,244977,164113
104,522,2,2,157279,278752,244972,164086
105,527,2,2,157260,278732,244939,164096
106,532,2,2,157254,278715,244940,164114
107,537,2,2,157265,278705,244927,164070
108,542,2,2,157240,278689,244937,164064
109,547,2,2,157237,278679,244898,164054
110,552,2,2,157213,278623,244892,164039
111,557,2,2,157198,278605,244872,164038
112,562,2,2,157199,278596,244865,164019
113,567,2,2,157202,278589,244847,164004
114,572,2,2,157188,278568,244845,164001
115,577,2,2,157189,278541,244860,164007
116,582,2,2,157186,278550,244825,164002
117,587,2,2,157172,278522,244827,163973
118,592,2,2,157164,278498,244811,163974
119,597,2,2,157172,278483,244806,163960
120,602,2,2,157180,278523,244774,163943
121,607,2,2,157173,278486,244760,163951
122,612,2,2,157179,278475,244767,163936
123,617,2,2,157173,278486,244732,163936
124,622,2,2,157161,278466,244729,163936
125,627,2,2,157137,278455,244720,163909
126,632,2,2,157142,278444,244659,163892
127,637,2,2,157149,278419,244641,163856
128,643,2,2,157147,278424,244609,163860
129,648,2,2,157136,278416,244580,163853
130,653,2,2,157135,278434,244564,163831
131,658,2,2,157143,278399,244527,163788
132,663,2,2,157133,278377,244497,163781
133,668,2,2,157116,278379,244462,163770
134,673,2,2,157104,278349,244447,163766
135,678,2,2,157096,278380,244391,163731
136,683,2,2,157099,278298,244361,163707
137,688,2,2,157074,278314,244322,163674
138,693,2,2,157061,278280,244289,163650
139,698,2,2,157066,278266,244270,163628
140,703,2,2,157030,278205,244224,163618
141,708,2,2,157025,278220,244199,163585
142,713,2,2,157020,278181,244150,163565
143,718,2,2,157014,278187,244129,163545
144,723,2,2,156994,278181,244121,163534
145,728,2,2,156992,278151,244060,163500
146,733,2,2,156990,278141,244010,163486
147,738,2,2,156958,278113,244028,163466
148,743,2,2,156972,278123,243976,163461
149,748,2,2,156968,278105,243935,163416
150,753,2,2,156948,278080,243913,163398
151,758,2,2,156944,278075,243885,163395
152,763,2,2,156928,278083,243845,163356
153,768,2,2,156939,278052,243827,163327
154,773,2,2,156946,278052,243805,163312
155,778,2,2,156925,278063,243775,163299
156,783,2,2,156909,278033,243746,163279
157,788,2,2,156901,278027,243731,163246
158,793,2,2,156889,277992,243701,163232
159,798,2,2,156906,277979,243646,163226
160,803,2,2,156900,278011,243625,163201
161,808,2,2,156906,277981,243619,163199
162,813,2,2,156896,277993,243593,163169
163,818,2,2,156882,277945,243577,163149
164,823,2,2,156900,277959,243537,163147
165,828,2,2,156897,277971,243533,163121
166,833,2,2,156892,277976,243509,163117
167,838,2,2,156890,277949,243476,163084
168,843,2,2,156902,277957,243462,163064
169,848,2,2,156894,277937,243429,163059
170,853,2,2,156900,277951,243421,163073
171,858,2,2,156893,277960,243409,163026
172,863,2,2,156885,277966,243405,163009
173,868,2,2,156876,277930,243366,163009
174,873,2,2,156882,277948,243344,162985
175,878,2,2,156896,277946,243346,162996
176,883,2,2,156904,277967,243277,162958
177,888,2,2,156917,277988,243277,162932
178,893,2,2,156922,278015,243248,162932
179,898,2,2,156944,277998,243221,162921
180,903,2,2,156956,278037,243209,162903
181,908,2,2,156953,278044,243209,162879
182,913,2,2,156958,278046,243185,162861
183,918,2,2,156984,278046,243155,162862
184,923,2,2,156972,278077,243152,162851
185,928,2,2,156968,278060,243135,162830
186,933,2,2,156976,278089,243113,162819
187,938,2,2,156988,278095,243075,162801
188,943,2,2,157000,278117,243070,162792
189,948,2,2,157015,278111,243041,162784
190,953,2,2,157026,278137,243021,162761
191,958,2,2,157058,278166,243007,162752
192,965,2,2,157076,278200,242994,162736
193,970,2,2,157075,278232,242973,162715
194,975,2,2,157109,278271,242955,162710
195,980,2,2,157111,278251,242942,162716
196,985,2,2,157122,278291,242926,162728
197,990,2,2,157120,278291,242884,162656
198,995,2,2,157146,278312,242861,162652
199,1000,2,2,157141,278339,242840,162654
200,1005,2,2,157151,278307,242840,162638
201,1010,2,2,157136,278324,242807,162615
202,1015,2,2,157157,278301,242792,162623
203,1020,2,2,157143,278340,242767,162584
204,1025,2,2,157151,278316,242768,162584
205,1030,2,2,157166,278291,242769,162556
206,1035,2,2,157172,278320,242720,162550
207,1040,2,2,157160,278382,242710,162544
208,1045,2,2,157180,278334,242710,162547
209,1050,2,2,157168,278375,242679,162515
210,1055,2,2,157172,278344,242666,162500
211,1060,2,2,157194,278369,242653,162509
212,1065,2,2,157187,278406,242632,162475
213,1070,2,2,157201,278385,242640,162481
214,1075,2,2,157190,278394,242611,162477
215,1080,2,2,157197,278395,242603,162456
216,1085,2,2,157220,278391,242606,162460
217,1090,2,2,157196,278407,242588,162437
218,1095,2,2,157206,278385,242560,162427
219,1100,2,2,157208,278404,242536,162417
220,1105,2,2,157213,278405,242525,162395
221,1110,2,2,157214,278389,242507,162387
222,1115,2,2,157214,278389,242500,162389
223,1120,2,2,157197,278390,242470,162385
224,1123,2,2,157202,278364,242478,162374
225,1128,2,2,157196,278391,242461,162353
226,1133,2,2,157201,278381,242429,162354
227,1138,2,2,157227,278388,242430,162330
228,1143,2,2,157233,278387,242409,162327
229,1148,2,2,157237,278417,242400,162321
230,1153,2,2,157235,278421,242400,162300
231,1158,2,2,157247,278416,242386,162328
232,1163,2,2,157249,278425,242367,162295
233,1168,2,2,157231,278474,242362,162288
234,1173,2,2,157272,278476,242338,162281
235,1178,2,2,157283,278454,242332,162276
236,1183,2,2,157277,278485,242330,162271
237,1188,2,2,157279,278485,242328,162262
238,1193,2,2,157275,278501,242309,162245
239,1198,2,2,157279,278474,242297,162250
240,1203,2,2,157285,278489,242281,162236
241,1208,2,2,157269,278492,242269,162226
242,1213,2,2,157284,278500,242266,162221
243,1218,2,2,157261,278470,242265,162234
244,1223,2,2,157257,278460,242228,162210
245,1228,2,2,157255,278455,242211,162205
246,1233,2,2,157249,278428,242212,162179
247,1238,2,2,157235,278426,242203,162185
248,1243,2,2,157219,278419,242185,162200
249,1248,2,2,157202,278383,242199,162167
250,1253,2,2,157199,278357,242169,162162
251,1258,2,2,157185,278389,242155,162151
252,1263,2,2,157192,278349,242150,162142
253,1268,2,2,157185,278339,242190,162145
254,1273,2,2,157178,278313,242134,162124
255,1278,2,2,157178,278305,242140,162119
256,1285,2,2,157168,278299,242106,162112
257,1290,2,2,157108,278267,242119,162113
258,1295,2,2,157107,278220,242095,162102
259,1300,2,2,157111,278221,242084,162094
260,1305,2,2,157102,278158,242079,162095
261,1310,2,2,157076,278137,242055,162084
262,1315,2,2,157064,278107,242054,162068
263,1320,2,2,157029,278069,242036,162073
264,1325,2,2,157022,278002,242015,162053
265,1330,2,2,156986,277963,242004,162035
266,1335,2,2,156974,277924,242025,162042
267,1340,2,2,156927,277889,241998,162027
268,1345,2,2,156907,277853,241980,162028
269,1350,2,2,156853,277782,241975,162033
270,1355,2,2,156856,277721,241972,161994
271,1360,2,2,156815,277682,241963,162019
272,1365,2,2,156783,277608,241946,161999
273,1370,2,2,156778,277601,241923,161986
274,1375,2,2,156743,277554,241924,161996
275,1380,2,2,156738,277494,241906,161986
276,1385,2,2,156682,277462,241907,161978
277,1390,2,2,156673,277434,241891,161967
278,1395,2,2,156656,277386,241887,161964
279,1400,2,2,156641,277362,241880,161990
280,1405,2,2,156584,277301,241864,161959
281,1410,2,2,156594,277303,241878,161945
282,1415,2,2,156575,277277,241857,161938
283,1420,2,2,156560,277236,241834,161936
284,1425,2,2,156544,277195,241824,161926
285,1430,2,2,156521,277175,241803,161933
286,1435,2,2,156483,277099,241798,161908
287,1440,2,2,156482,277082,241779,161907
288,1446,2,2,156447,277076,241752,161877
289,1451,2,2,156446,277019,241732,161866
290,1456,2,2,156438,276984,241710,161850
291,1461,2,2,156406,276958,241675,161838
292,1466,2,2,156389,276929,241655,161810
293,1471,2,2,156360,276894,241616,161796
294,1476,2,2,156343,276804,241624,161788
295,1481,2,2,156317,276780,241564,161778
296,1486,2,2,156304,276768,241516,161743
297,1491,2,2,156285,276727,241483,161722
298,1496,2,2,156276,276695,241446,161699
299,1501,2,2,156251,276668,241401,161678
300,1506,2,2,156232,276628,241367,161648
301,1511,2,2,156231,276597,241344,161644
302,1516,2,2,156213,276572,241296,161612
303,1521,2,2,156207,276542,241282,161596
304,1526,2,2,156186,276488,241251,161572
305,1531,2,2,156170,276516,241199,161543
306,1536,2,2,156176,276484,241163,161544
307,1541,2,2,156167,276469,241154,161517
308,1546,2,2,156164,276494,241120,161493
309,1551,2,2,156166,276498,241080,161477
310,1556,2,2,156155,276488,241064,161461
311,1561,2,2,156183,276504,241007,161440
312,1566,2,2,156154,276512,241010,161427
313,1571,2,2,156184,276474,240995,161408
314,1576,2,2,156181,276485,240941,161396
315,1581,2,2,156176,276521,240937,161364
316,1586,2,2,156166,276533,240899,161350
317,1591,2,2,156161,276535,240882,161345
318,1596,2,2,156158,276518,240874,161351
319,1601,2,2,156140,276549,240861,161316
320,1604,2,2,156179,276534,240806,161309
321,1609,2,2,156162,276503,240811,161301
322,1614,2,2,156172,276464,240748,161276
323,1619,2,2,156142,276514,240746,161267
324,1624,2,2,156146,276544,240714,161244
325,1629,2,2,156152,276500,240695,161235
326,1634,2,2,156153,276539,240679,161223
327,1639,2,2,156157,276543,240712,161219
328,1644,2,2,156148,276558,240649,161208
329,1649,2,2,156148,276550,240636,161184
330,1654,2,2,156162,276554,240620,161188
331,1659,2,2,156164,276574,240593,161168
332,1664,2,2,156191,276615,240584,161160
333,1669,2,2,156195,276639,240545,161150
334,1674,2,2,156204,276669,240531,161163
