frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,156698,278278,237310,159623
1,5,2,2,156702,278302,237244,159596
2,10,2,2,156693,278284,237238,159588
3,15,2,2,156695,278299,237216,159574
4,20,2,2,156702,278277,237202,159563
5,25,2,2,156706,278301,237201,159554
6,30,2,2,156713,278288,237168,159540
7,35,2,2,156716,278296,237175,159531
8,40,2,2,156714,278295,237169,159575
9,45,2,2,156716,278300,237152,159525
10,50,2,2,156715,278313,237126,159514
11,55,2,2,156714,278305,237151,159507
12,60,2,2,156712,278342,237118,159513
13,65,2,2,156695,278297,237107,159499
14,70,2,2,156715,278346,237105,159486
15,75,2,2,156726,278344,237141,159509
16,80,2,2,156744,278352,237103,159486
17,85,2,2,156736,278344,237093,159475
18,90,2,2,156739,278318,237083,159478
19,95,2,2,156729,278361,237072,159471
20,100,2,2,156742,278385,237085,159472
21,105,2,2,156750,278362,237075,159447
22,110,2,2,156749,278383,237078,159457
23,115,2,2,156747,278366,237065,159451
24,120,2,2,156746,278391,237079,159464
25,125,2,2,156764,278390,237082,159449
26,130,2,2,156758,278378,237089,159452
27,135,2,2,156776,278401,237074,159459
28,140,2,2,156760,278417,237101,159453
29,145,2,2,156768,278430,237102,159441
30,150,2,2,156779,278426,237107,159464
31,155,2,2,156778,278442,237098,159465
32,160,2,2,156783,278435,237120,159465
33,165,2,2,156769,278455,237102,159460
34,170,2,2,156784,278474,237115,159472
35,167,2,2,156774,278438,237169,159491
36,172,2,2,156786,278449,237124,159471
37,177,2,2,156787,278488,237120,159470
38,182,2,2,156793,278503,237129,159474
39,187,2,2,156801,278505,237134,159474
40,192,2,2,156801,278486,237131,159462
41,197,2,2,156805,278506,237136,159471
42,202,2,2,156794,278534,237124,159461
43,207,2,2,156803,278502,237129,159466
44,212,2,2,156801,278496,237135,159460
45,217,2,2,156786,278492,237130,159456
46,222,2,2,156802,278495,237139,159467
47,227,2,2,156804,278483,237120,159465
48,232,2,2,156815,278493,237120,159489
49,237,2,2,156787,278511,237123,159453
50,242,2,2,156803,278503,237120,159456
51,247,2,2,156793,278466,237114,159438
52,252,2,2,156810,278518,237109,159443
53,257,2,2,156812,278511,237137,159449
54,262,2,2,156809,278491,237105,159446
55,267,2,2,156813,278507,237127,159442
56,272,2,2,156811,278511,237115,159452
57,277,2,2,156792,278508,237119,159427
58,282,2,2,156794,278508,237105,159432
59,287,2,2,156810,278528,237103,159435
60,292,2,2,156806,278485,237102,159435
61,297,2,2,156807,278505,237102,159432
62,302,2,2,156816,278496,237118,159425
63,307,2,2,156814,278498,237075,159429
64,312,2,2,156818,278535,237098,159426
65,317,2,2,156810,278491,237101,159427
66,322,2,2,156814,278517,237093,159418
67,330,2,2,156804,278501,237088,159423
68,335,2,2,156797,278507,237109,159413
69,340,2,2,156806,278512,237097,159452
70,345,2,2,156810,278524,237100,159421
71,350,2,2,156812,278517,237091,159406
72,355,2,2,156810,278525,237082,159411
73,360,2,2,156812,278517,237076,159404
74,365,2,2,156808,278506,237085,159409
75,370,2,2,156805,278535,237088,159409
76,375,2,2,156800,278496,237132,159415
77,380,2,2,156818,278497,237087,159404
78,385,2,2,156792,278510,237134,159414
79,390,2,2,156805,278482,237076,159399
80,395,2,2,156789,278460,237070,159394
81,400,2,2,156779,278480,237054,159386
82,405,2,2,156793,278487,237050,159386
83,410,2,2,156793,278484,237046,159388
84,415,2,2,156781,278461,237037,159361
85,420,2,2,156776,278466,237043,159391
86,425,2,2,156768,278455,237025,159367
87,430,2,2,156785,278449,237023,159363
88,435,2,2,156780,278426,237022,159363
89,440,2,2,156760,278444,236997,159360
90,445,2,2,156762,278452,236982,159361
91,450,2,2,156746,278415,237001,159368
92,455,2,2,156758,278430,237013,159383
93,460,2,2,156743,278395,236994,159346
94,465,2,2,156743,278426,236981,159357
95,470,2,2,156759,278397,236988,159387
96,475,2,2,156760,278415,236951,159337
97,480,2,2,156737,278377,236965,159344
98,485,2,2,156726,278399,236940,159339
99,488,2,2,156755,278409,236950,159340
100,493,2,2,156749,278388,236934,159327
101,498,2,2,156749,278408,236924,159326
102,503,2,2,156736,278407,236937,159323
103,508,2,2,156728,278397,236925,159320
104,513,2,2,156732,278383,236938,159341
105,518,2,2,156733,278384,236925,159315
106,523,2,2,156745,278374,236922,159311
107,528,2,2,156723,278377,236924,159311
108,533,2,2,156728,278364,236896,159311
109,538,2,2,156720,278380,236870,159314
110,543,2,2,156730,278362,236901,159312
111,548,2,2,156703,278369,236878,159337
112,553,2,2,156711,278356,236869,159293
113,558,2,2,156725,278319,236857,159295
114,563,2,2,156725,278350,236860,159289
115,568,2,2,156723,278335,236846,159290
116,573,2,2,156700,278333,236876,159299
117,578,2,2,156707,278351,236863,159295
118,583,2,2,156713,278341,236851,159284
119,588,2,2,156699,278306,236836,159291
120,593,2,2,156709,278351,236850,159312
121,598,2,2,156712,278311,236824,159287
122,603,2,2,156716,278340,236837,159278
123,608,2,2,156699,278306,236828,159265
124,613,2,2,156700,278308,236840,159275
125,618,2,2,156684,278321,236828,159304
126,623,2,2,156695,278291,236815,159262
127,628,2,2,156684,278313,236808,159258
128,633,2,2,156680,278326,236805,159271
129,638,2,2,156683,278301,236792,159254
130,643,2,2,156702,278304,236811,159258
131,575,2,2,156680,278294,236789,159252
132,580,2,2,156676,278293,236786,159272
133,585,2,2,156667,278289,236792,159259
134,590,2,2,156655,278262,236784,159261
135,595,2,2,156673,278304,236770,159266
136,600,2,2,156684,278277,236778,159260
137,605,2,2,156690,278282,236758,159253
