frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,152258,273522,243503,163318
1,5,2,2,152254,273498,243491,163327
2,10,2,2,152246,273495,243484,163331
3,15,2,2,152234,273474,243475,163336
4,20,2,2,152228,273469,243486,163319
5,25,2,2,152223,273461,243446,163316
6,30,2,2,152233,273425,243443,163303
7,35,2,2,152228,273443,243420,163293
8,40,2,2,152224,273416,243411,163286
9,45,2,2,152211,273399,243410,163284
10,50,2,2,152208,273393,243388,163291
11,55,2,2,152190,273385,243365,163288
12,60,2,2,152171,273353,243370,163254
13,65,2,2,152182,273357,243321,163260
14,70,2,2,152192,273370,243312,163245
15,75,2,2,152183,273354,243313,163244
16,80,2,2,152162,273365,243299,163234
17,85,2,2,152158,273330,243281,163228
18,90,2,2,152155,273312,243279,163213
19,95,2,2,152153,273329,243248,163204
20,100,2,2,152153,273281,243231,163206
21,105,2,2,152140,273300,243222,163192
22,110,2,2,152140,273275,243199,163187
23,115,2,2,152152,273270,243175,163177
24,120,2,2,152134,273265,243180,163183
25,125,2,2,152125,273273,243159,163159
26,130,2,2,152143,273296,243163,163185
27,135,2,2,152153,273283,243168,163187
28,140,2,2,152125,273334,243127,163134
29,145,2,2,152129,273278,243113,163127
30,150,2,2,152133,273264,243088,163120
31,155,2,2,152120,273277,243086,163111
32,159,2,2,152118,273269,243069,163111
33,164,2,2,152114,273250,243055,163102
34,169,2,2,152110,273238,243052,163098
35,174,2,2,152124,273249,243042,163099
36,179,2,2,152117,273249,242998,163085
37,184,2,2,152122,273226,242992,163066
38,189,2,2,152144,273252,243000,163082
39,194,2,2,152153,273253,242963,163063
40,199,2,2,152151,273265,242953,163052
41,204,2,2,152132,273238,242943,163037
42,209,2,2,152145,273303,242938,163037
43,214,2,2,152161,273294,242939,163042
44,219,2,2,152156,273296,242920,163029
45,224,2,2,152176,273308,242905,163027
46,229,2,2,152160,273299,242861,163013
47,234,2,2,152164,273281,242873,163000
48,239,2,2,152165,273336,242912,163006
49,244,2,2,152158,273348,242848,162995
50,249,2,2,152175,273357,242827,162985
51,254,2,2,152176,273345,242824,162969
52,259,2,2,152174,273380,242790,162966
53,264,2,2,152181,273388,242791,162951
54,269,2,2,152183,273388,242777,162956
55,274,2,2,152170,273363,242759,162948
56,279,2,2,152188,273384,242739,162926
57,284,2,2,152189,273394,242732,162928
58,289,2,2,152173,273407,242706,162915
59,294,2,2,152187,273372,242695,162911
60,299,2,2,152183,273370,242665,162893
61,304,2,2,152212,273400,242643,162887
62,309,2,2,152202,273386,242631,162894
63,314,2,2,152196,273415,242608,162871
64,322,2,2,152207,273424,242591,162846
65,327,2,2,152212,273418,242578,162847
66,332,2,2,152203,273409,242550,162836
67,337,2,2,152195,273429,242555,162865
68,342,2,2,152219,273433,242517,162814
69,347,2,2,152229,273465,242509,162812
70,352,2,2,152218,273475,242463,162800
71,357,2,2,152240,273465,242465,162793
72,362,2,2,152243,273473,242456,162799
73,367,2,2,152234,273469,242429,162776
74,372,2,2,152255,273452,242404,162750
75,377,2,2,152266,273448,242365,162748
76,382,2,2,152259,273478,242364,162746
77,387,2,2,152263,273474,242331,162730
78,392,2,2,152273,273482,242325,162717
79,397,2,2,152277,273486,242303,162733
80,402,2,2,152280,273488,242306,162698
81,407,2,2,152275,273455,242298,162686
82,412,2,2,152290,273487,242277,162690
