frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,178430,309524,230826,154065
1,5,2,2,178416,309531,230825,154069
2,10,2,2,178437,309490,230815,154060
3,15,2,2,178424,309532,230825,154086
4,20,2,2,178413,309521,230805,154060
5,25,2,2,178396,309477,230788,154047
6,30,2,2,178388,309492,230839,154035
7,35,2,2,178371,309464,230791,154042
8,40,2,2,178368,309460,230768,154053
9,45,2,2,178369,309436,230791,154059
10,50,2,2,178376,309431,230767,154037
11,55,2,2,178367,309360,230759,154042
12,60,2,2,178343,309384,230771,154040
13,65,2,2,178327,309388,230753,154038
14,70,2,2,178297,309373,230761,154037
15,75,2,2,178305,309373,230749,154052
16,80,2,2,178287,309362,230774,154039
17,85,2,2,178270,309259,230749,154031
18,90,2,2,178266,309287,230753,154033
19,95,2,2,178250,309235,230738,154035
20,100,2,2,178207,309238,230722,154038
21,105,2,2,178197,309212,230730,154035
22,110,2,2,178161,309188,230755,154041
23,115,2,2,178160,309146,230736,154055
24,120,2,2,178122,309091,230723,154040
25,125,2,2,178110,309025,230714,154037
26,130,2,2,178067,309012,230716,154049
27,135,2,2,178051,308987,230728,154059
28,140,2,2,178028,308935,230717,154058
29,145,2,2,178011,308901,230730,154087
30,150,2,2,177970,308867,230729,154048
31,155,2,2,177923,308798,230725,154062
32,165,2,2,177921,308747,230716,154058
33,170,2,2,177876,308686,230739,154066
34,175,2,2,177841,308654,230727,154066
35,180,2,2,177818,308584,230746,154086
36,185,2,2,177794,308508,230735,154072
37,190,2,2,177756,308453,230742,154081
38,195,2,2,177729,308390,230750,154103
39,200,2,2,177694,308328,230750,154079
40,205,2,2,177680,308284,230753,154093
41,210,2,2,177637,308225,230748,154086
42,215,2,2,177606,308175,230737,154091
43,220,2,2,177584,308128,230736,154104
44,225,2,2,177566,308079,230744,154108
45,230,2,2,177541,308063,230753,154106
46,235,2,2,177510,308021,230719,154095
47,240,2,2,177492,307966,230712,154111
48,245,2,2,177460,307913,230700,154104
49,250,2,2,177453,307898,230750,154095
50,255,2,2,177436,307881,230690,154106
51,260,2,2,177404,307811,230662,154096
52,265,2,2,177385,307791,230647,154073
53,270,2,2,177372,307766,230636,154092
54,275,2,2,177361,307739,230633,154065
55,280,2,2,177335,307716,230560,154057
56,285,2,2,177327,307686,230540,154058
57,290,2,2,177299,307652,230513,154025
58,295,2,2,177304,307649,230457,154000
59,300,2,2,177274,307627,230422,153997
60,305,2,2,177267,307624,230393,153967
61,310,2,2,177263,307584,230347,153959
62,315,2,2,177266,307578,230279,153929
63,320,2,2,177253,307545,230263,153918
64,324,2,2,177214,307548,230249,153880
65,329,2,2,177229,307515,230173,153859
66,334,2,2,177213,307499,230110,153845
67,339,2,2,177189,307505,230069,153830
68,344,2,2,177204,307424,230037,153810
69,349,2,2,177182,307446,229998,153767
70,354,2,2,177191,307418,229936,153749
71,359,2,2,177175,307406,229901,153732
72,364,2,2,177143,307409,229862,153708
73,369,2,2,177140,307361,229819,153675
74,374,2,2,177144,307344,229776,153648
75,379,2,2,177141,307308,229723,153643
76,384,2,2,177110,307309,229680,153621
77,389,2,2,177098,307311,229649,153600
78,394,2,2,177093,307292,229643,153579
