frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,125413,278150,291736,223174
1,5,2,2,125407,278167,291743,223153
2,10,2,2,125413,278155,291717,223160
3,15,2,2,125405,278164,291716,223149
4,20,2,2,125414,278167,291699,223161
5,25,2,2,125401,278189,291696,223149
6,30,2,2,125397,278174,291677,223155
7,35,2,2,125389,278117,291678,223142
8,40,2,2,125391,278181,291664,223119
9,45,2,2,125389,278144,291652,223106
10,50,2,2,125378,278148,291647,223112
11,55,2,2,125382,278118,291631,223142
12,60,2,2,125378,278153,291658,223147
13,65,2,2,125369,278137,291607,223099
14,70,2,2,125372,278110,291603,223092
15,75,2,2,125360,278105,291569,223085
16,80,2,2,125371,278101,291578,223095
17,85,2,2,125362,278091,291566,223072
18,90,2,2,125359,278065,291558,223083
19,95,2,2,125357,278053,291536,223068
20,100,2,2,125348,278046,291518,223043
21,105,2,2,125340,278050,291502,223028
22,110,2,2,125339,278035,291490,223041
23,115,2,2,125326,278026,291486,223037
24,120,2,2,125331,278034,291476,223015
25,125,2,2,125324,277979,291477,223024
26,130,2,2,125307,277988,291460,223006
27,135,2,2,125319,277976,291458,223033
28,140,2,2,125313,277993,291466,223044
29,145,2,2,125299,277962,291416,223006
30,150,2,2,125283,277908,291409,222978
31,155,2,2,125279,277951,291393,222974
32,160,2,2,125265,277915,291382,222966
33,165,2,2,125268,277901,291390,222961
34,170,2,2,125266,277887,291370,222976
35,175,2,2,125254,277883,291345,222951
36,180,2,2,125245,277847,291337,222944
37,185,2,2,125237,277835,291345,222931
38,190,2,2,125230,277838,291315,222957
39,195,2,2,125222,277856,291316,222946
40,200,2,2,125225,277803,291281,222936
41,205,2,2,125218,277802,291280,222922
42,210,2,2,125203,277773,291283,222921
43,215,2,2,125200,277754,291249,222910
44,220,2,2,125194,277716,291253,222891
45,225,2,2,125193,277727,291221,222884
46,230,2,2,125185,277742,291232,222887
47,235,2,2,125178,277723,291206,222874
48,240,2,2,125179,277686,291199,222866
49,245,2,2,125170,277709,291179,222865
50,250,2,2,125159,277703,291184,222845
51,255,2,2,125152,277704,291180,222852
52,260,2,2,125145,277675,291160,222849
53,265,2,2,125132,277676,291166,222855
54,270,2,2,125127,277628,291150,222846
