frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,56235,237394,74826,39750
1,5,2,2,56237,237369,74817,39751
2,10,2,2,56245,237424,74821,39758
3,15,2,2,56237,237396,74828,39760
4,20,2,2,56244,237409,74831,39759
5,25,2,2,56239,237417,74838,39757
6,30,2,2,56234,237402,74830,39763
7,35,2,2,56243,237421,74839,39766
8,40,2,2,56229,237399,74842,39765
9,45,2,2,56235,237393,74843,39767
10,50,2,2,56220,237374,74851,39760
11,55,2,2,56214,237365,74848,39759
12,60,2,2,56212,237363,74853,39759
13,65,2,2,56212,237348,74860,39765
14,70,2,2,56214,237378,74863,39762
15,75,2,2,56208,237413,74877,39766
16,80,2,2,56198,237405,74879,39766
17,85,2,2,56186,237385,74886,39768
18,90,2,2,56184,237382,74873,39767
19,95,2,2,56183,237362,74872,39766
20,100,2,2,56165,237379,74872,39764
21,105,2,2,56160,237378,74869,39767
22,110,2,2,56158,237371,74862,39767
23,115,2,2,56167,237356,74862,39769
24,120,2,2,56154,237390,74873,39755
25,125,2,2,56144,237363,74860,39753
26,130,2,2,56144,237334,74846,39761
27,135,2,2,56147,237314,74838,39759
28,140,2,2,56133,237315,74841,39751
29,145,2,2,56139,237317,74825,39754
30,150,2,2,56131,237302,74820,39751
31,155,2,2,56136,237304,74821,39760
32,164,2,2,56126,237309,74808,39750
33,169,2,2,56111,237272,74802,39748
34,174,2,2,56106,237265,74788,39743
35,179,2,2,56111,237275,74787,39740
36,184,2,2,56104,237271,74778,39738
37,189,2,2,56107,237248,74770,39734
38,194,2,2,56101,237275,74760,39738
39,199,2,2,56099,237284,74758,39730
40,204,2,2,56097,237280,74755,39726
41,209,2,2,56104,237309,74748,39722
42,214,2,2,56097,237287,74732,39727
43,219,2,2,56113,237327,74739,39729
44,224,2,2,56119,237357,74732,39726
45,229,2,2,56118,237392,74729,39727
46,234,2,2,56127,237405,74724,39732
47,239,2,2,56130,237442,74727,39724
48,244,2,2,56135,237435,74721,39719
49,249,2,2,56148,237500,74714,39724
50,254,2,2,56158,237539,74712,39724
51,259,2,2,56166,237582,74709,39719
52,264,2,2,56168,237609,74720,39717
53,269,2,2,56184,237666,74711,39724
54,274,2,2,56195,237724,74706,39729
55,279,2,2,56206,237747,74717,39729
56,284,2,2,56219,237774,74718,39725
57,289,2,2,56216,237784,74712,39725
58,294,2,2,56215,237785,74716,39728
59,299,2,2,56213,237762,74709,39728
60,304,2,2,56206,237721,74716,39724
61,309,2,2,56216,237743,74725,39725
62,314,2,2,56219,237723,74712,39732
63,319,2,2,56211,237737,74713,39732
64,324,2,2,56210,237733,74718,39735
65,329,2,2,56217,237767,74709,39733
66,334,2,2,56214,237712,74715,39733
67,339,2,2,56210,237692,74719,39741
68,344,2,2,56193,237628,74717,39735
69,349,2,2,56187,237606,74711,39734
70,354,2,2,56174,237518,74713,39737
71,359,2,2,56157,237476,74714,39742
