frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,46538,228105,70715,42583
1,5,2,2,46537,228113,70725,42591
2,10,2,2,46544,228115,70712,42603
3,15,2,2,46548,228112,70706,42583
4,20,2,2,46536,228102,70710,42582
5,25,2,2,46537,228109,70709,42583
6,30,2,2,46537,228094,70710,42586
7,35,2,2,46535,228121,70702,42578
8,40,2,2,46542,228119,70709,42585
9,45,2,2,46542,228120,70701,42584
10,50,2,2,46540,228106,70701,42590
11,55,2,2,46528,228133,70715,42586
12,60,2,2,46540,228125,70710,42588
13,65,2,2,46547,228079,70710,42586
14,70,2,2,46542,228116,70711,42581
15,75,2,2,46543,228145,70708,42584
16,80,2,2,46548,228130,70721,42583
17,85,2,2,46538,228150,70724,42585
18,90,2,2,46543,228142,70726,42586
19,95,2,2,46541,228138,70721,42588
20,100,2,2,46550,228161,70726,42586
21,105,2,2,46543,228154,70720,42587
22,110,2,2,46541,228154,70729,42585
23,115,2,2,46547,228150,70722,42587
24,120,2,2,46545,228167,70732,42596
25,125,2,2,46539,228151,70727,42584
26,130,2,2,46548,228136,70731,42585
27,135,2,2,46545,228141,70733,42589
28,140,2,2,46546,228183,70737,42590
29,145,2,2,46549,228172,70728,42588
30,150,2,2,46556,228160,70732,42592
31,155,2,2,46551,228177,70733,42596
32,161,2,2,46555,228180,70737,42591
33,166,2,2,46553,228174,70731,42593
34,171,2,2,46554,228186,70729,42596
35,176,2,2,46552,228170,70730,42584
36,181,2,2,46547,228157,70739,42589
37,186,2,2,46546,228176,70734,42589
38,191,2,2,46554,228204,70725,42593
39,196,2,2,46561,228183,70735,42592
40,201,2,2,46557,228200,70736,42595
41,206,2,2,46558,228191,70732,42599
42,211,2,2,46556,228196,70724,42596
43,216,2,2,46547,228196,70731,42595
44,221,2,2,46554,228185,70726,42603
45,226,2,2,46555,228204,70739,42618
46,231,2,2,46562,228199,70736,42600
47,236,2,2,46553,228204,70728,42596
48,241,2,2,46552,228201,70740,42598
49,246,2,2,46553,228194,70733,42601
50,251,2,2,46555,228192,70735,42594
51,256,2,2,46557,228186,70731,42603
52,261,2,2,46560,228209,70742,42596
53,266,2,2,46554,228210,70745,42603
54,271,2,2,46562,228216,70744,42604
55,276,2,2,46554,228205,70738,42602
56,281,2,2,46557,228205,70735,42605
57,286,2,2,46564,228216,70736,42606
58,291,2,2,46563,228209,70742,42602
59,296,2,2,46558,228236,70742,42619
60,301,2,2,46557,228209,70740,42604
61,306,2,2,46551,228221,70741,42608
62,311,2,2,46557,228222,70732,42616
63,316,2,2,46559,228219,70742,42614
64,322,2,2,46559,228240,70744,42615
65,327,2,2,46565,228238,70741,42611
66,332,2,2,46565,228215,70742,42605
67,337,2,2,46559,228233,70742,42613
68,342,2,2,46561,228227,70745,42614
69,347,2,2,46566,228242,70745,42612
70,352,2,2,46559,228232,70738,42618
71,357,2,2,46563,228235,70739,42615
72,362,2,2,46561,228251,70755,42623
73,367,2,2,46560,228197,70744,42618
74,372,2,2,46556,228206,70746,42616
75,377,2,2,46553,228233,70750,42614
76,382,2,2,46557,228199,70748,42622
77,387,2,2,46559,228222,70744,42622
78,392,2,2,46554,228197,70741,42617
79,397,2,2,46548,228212,70743,42615
80,402,2,2,46559,228201,70748,42618
81,407,2,2,46558,228191,70745,42624
82,412,2,2,46562,228187,70746,42626
83,417,2,2,46566,228222,70749,42627
84,422,2,2,46578,228238,70756,42628
85,427,2,2,46574,228240,70756,42628
86,432,2,2,46583,228262,70767,42626
87,437,2,2,46586,228275,70761,42628
88,442,2,2,46595,228293,70766,42628
89,447,2,2,46598,228281,70767,42633
90,452,2,2,46601,228303,70773,42636
91,457,2,2,46606,228294,70767,42632
92,462,2,2,46611,228300,70775,42639
93,467,2,2,46606,228334,70774,42636
94,472,2,2,46614,228278,70771,42648
95,477,2,2,46619,228302,70763,42644
96,482,2,2,46618,228323,70761,42636
97,487,2,2,46622,228312,70751,42637
98,492,2,2,46628,228300,70742,42637
99,497,2,2,46629,228306,70735,42633
100,502,2,2,46631,228304,70736,42640
101,507,2,2,46639,228303,70726,42630
102,512,2,2,46652,228327,70725,42631
103,517,2,2,46655,228339,70712,42629
104,522,2,2,46662,228381,70713,42632
105,527,2,2,46673,228424,70719,42640
