frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,171853,307977,249992,165167
1,5,2,2,171837,307932,249973,165152
2,10,2,2,171858,307949,249993,165164
3,15,2,2,171857,307967,249973,165147
4,20,2,2,171849,307957,249971,165164
5,25,2,2,171857,307950,249984,165160
6,30,2,2,171856,307972,249996,165166
7,35,2,2,171855,307922,249998,165160
8,40,2,2,171855,307941,249996,165153
9,45,2,2,171865,307964,250009,165171
10,50,2,2,171849,307939,250011,165155
11,55,2,2,171855,308016,249988,165150
12,60,2,2,171847,307960,250028,165164
13,65,2,2,171870,307965,250016,165157
14,70,2,2,171857,307999,250012,165148
15,75,2,2,171866,308001,250015,165153
16,80,2,2,171865,307969,250005,165151
17,85,2,2,171859,307983,249985,165135
18,90,2,2,171863,307977,250025,165161
19,95,2,2,171848,307987,249992,165161
20,100,2,2,171846,307988,250004,165133
21,105,2,2,171852,307971,249955,165125
22,110,2,2,171858,307970,249979,165131
23,115,2,2,171836,307968,249983,165148
24,120,2,2,171832,307962,250024,165118
25,125,2,2,171832,307935,249958,165116
26,130,2,2,171844,307895,249954,165107
27,135,2,2,171835,307906,249949,165118
28,140,2,2,171838,307931,249960,165104
29,145,2,2,171823,307946,249941,165119
30,150,2,2,171839,307934,249957,165121
31,155,2,2,171826,307948,249942,165111
32,162,2,2,171831,307930,249954,165119
33,167,2,2,171821,307901,249960,165093
34,172,2,2,171843,307943,249918,165111
35,177,2,2,171833,307936,249929,165102
36,182,2,2,171846,307932,249947,165114
37,187,2,2,171839,307948,249940,165092
38,192,2,2,171847,307943,249921,165101
39,197,2,2,171823,307945,249933,165073
40,202,2,2,171843,307911,249928,165090
41,207,2,2,171841,307926,249913,165084
42,212,2,2,171837,307932,249906,165076
43,217,2,2,171848,307923,249918,165095
44,222,2,2,171842,307913,249931,165117
45,227,2,2,171831,307921,249911,165088
46,232,2,2,171862,307943,249892,165102
47,237,2,2,171847,307899,249912,165078
48,242,2,2,171848,307948,249906,165062
49,247,2,2,171846,307925,249923,165077
50,252,2,2,171852,307948,249907,165087
51,257,2,2,171853,307934,249912,165070
52,262,2,2,171844,307944,249919,165062
53,267,2,2,171839,307923,249892,165063
54,272,2,2,171860,307927,249902,165063
55,277,2,2,171849,307945,249897,165069
56,282,2,2,171839,307865,249900,165062
57,287,2,2,171843,307933,249883,165064
58,292,2,2,171838,307924,249868,165059
59,297,2,2,171847,307937,249885,165059
60,302,2,2,171829,307910,249899,165059
61,307,2,2,171835,307907,249882,165037
62,312,2,2,171803,307909,249869,165050
63,317,2,2,171815,307905,249861,165067
64,322,2,2,171818,307866,249867,165037
65,327,2,2,171810,307895,249854,165047
66,332,2,2,171820,307879,249849,165051
67,337,2,2,171806,307883,249859,165032
68,342,2,2,171803,307875,249859,165034
69,347,2,2,171802,307863,249888,165041
70,352,2,2,171790,307862,249856,165035
71,357,2,2,171822,307860,249842,165042
72,362,2,2,171819,307862,249863,165059
73,367,2,2,171805,307856,249858,165033
