frame_number,frame_timestamp,node0.proximity,node0.ambient_light_COFV,node0.red_data,node0.ir_data,node0.green_data,node0.blue_data
0,0,2,2,156276,288457,236820,156638
1,5,2,2,156291,288401,236805,156623
2,10,2,2,156281,288451,236805,156625
3,15,2,2,156289,288451,236810,156635
4,20,2,2,156268,288442,236821,156640
5,25,2,2,156278,288452,236805,156624
6,30,2,2,156271,288454,236839,156633
7,35,2,2,156272,288425,236839,156651
8,40,2,2,156276,288419,236849,156639
9,45,2,2,156274,288425,236849,156646
10,50,2,2,156263,288414,236869,156644
11,55,2,2,156269,288423,236873,156670
12,60,2,2,156263,288405,236874,156662
13,65,2,2,156259,288425,236889,156675
14,70,2,2,156257,288411,236892,156673
15,75,2,2,156260,288420,236903,156675
16,80,2,2,156259,288392,236902,156707
17,85,2,2,156250,288389,236926,156698
18,90,2,2,156263,288384,236921,156704
19,95,2,2,156282,288402,236942,156725
20,100,2,2,156251,288374,236950,156718
21,105,2,2,156247,288384,236973,156720
22,110,2,2,156255,288382,236963,156731
23,115,2,2,156264,288391,236957,156730
24,120,2,2,156253,288384,236991,156738
25,125,2,2,156251,288357,236982,156748
26,130,2,2,156253,288387,236976,156747
27,135,2,2,156263,288411,237004,156752
28,140,2,2,156249,288407,237038,156756
29,145,2,2,156276,288402,237013,156752
30,150,2,2,156284,288401,237031,156768
31,155,2,2,156289,288409,237037,156776
32,162,2,2,156285,288437,237066,156806
33,167,2,2,156275,288438,237081,156778
34,172,2,2,156292,288415,237056,156794
35,177,2,2,156286,288416,237085,156801
36,182,2,2,156298,288422,237087,156808
37,187,2,2,156278,288397,237106,156809
38,192,2,2,156278,288424,237114,156809
39,197,2,2,156293,288401,237098,156806
40,202,2,2,156271,288416,237117,156832
41,207,2,2,156276,288417,237138,156808
42,212,2,2,156288,288428,237133,156822
43,217,2,2,156269,288428,237139,156813
44,222,2,2,156278,288446,237151,156812
45,227,2,2,156269,288449,237170,156824
46,232,2,2,156267,288439,237171,156822
47,237,2,2,156281,288450,237171,156825
48,242,2,2,156264,288430,237206,156857
49,247,2,2,156274,288431,237197,156839
50,252,2,2,156278,288415,237231,156854
51,257,2,2,156281,288436,237224,156846
52,262,2,2,156266,288421,237232,156855
53,267,2,2,156258,288418,237254,156864
54,272,2,2,156265,288397,237307,156876
55,277,2,2,156279,288429,237273,156883
56,282,2,2,156278,288427,237275,156893
57,287,2,2,156287,288464,237293,156879
58,292,2,2,156284,288433,237306,156890
59,297,2,2,156282,288438,237307,156898
60,302,2,2,156272,288448,237326,156907
61,307,2,2,156274,288466,237343,156915
62,312,2,2,156288,288437,237322,156914
63,317,2,2,156278,288465,237394,156930
64,321,2,2,156282,288450,237353,156917
65,326,2,2,156301,288467,237382,156916
66,331,2,2,156293,288478,237368,156935
67,336,2,2,156298,288461,237393,156953
68,341,2,2,156314,288484,237400,156952
69,346,2,2,156301,288459,237397,156968
70,351,2,2,156309,288473,237415,156964
71,356,2,2,156308,288448,237422,156970
72,361,2,2,156319,288466,237460,156985
73,366,2,2,156317,288472,237464,156987
74,371,2,2,156296,288494,237481,157006
75,376,2,2,156339,288492,237470,156988
76,381,2,2,156345,288498,237517,157015
77,386,2,2,156342,288522,237525,157030
78,391,2,2,156359,288509,237505,157013
79,396,2,2,156354,288513,237513,157026
80,401,2,2,156366,288525,237529,157019
81,406,2,2,156354,288535,237542,157040
82,411,2,2,156359,288536,237585,157033
83,416,2,2,156360,288525,237537,157036
84,421,2,2,156364,288560,237555,157042
85,426,2,2,156335,288522,237579,157053
86,431,2,2,156360,288525,237584,157063
87,436,2,2,156361,288508,237608,157058
88,441,2,2,156359,288507,237594,157082
89,446,2,2,156349,288507,237619,157053
90,451,2,2,156334,288475,237612,157083
91,456,2,2,156360,288488,237634,157068
92,461,2,2,156351,288495,237638,157096
93,466,2,2,156364,288503,237631,157096
94,471,2,2,156366,288488,237641,157101
95,476,2,2,156367,288473,237646,157107
96,482,2,2,156363,288478,237661,157127
97,487,2,2,156341,288455,237696,157126
98,492,2,2,156358,288466,237735,157116
99,497,2,2,156331,288457,237663,157109
100,502,2,2,156352,288430,237685,157132
101,507,2,2,156315,288437,237718,157127
102,512,2,2,156342,288429,237729,157138
103,517,2,2,156334,288416,237725,157131
